       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   -9.063164   16.905428  -34.805142   34.356254   61.425919  -15.405911   63.300580   53.614330   56.171477   44.919670   27.055976  -25.941363   61.254429   32.416164   52.176555   52.153608  -40.443648   52.878217  -56.843469   78.084843   27.027699    8.435270   50.002240   -2.606591   13.813964   50.421527   53.122435   20.312409   50.624281   79.410367   38.701106   -5.451768
   -8.776213   17.191529  -34.891572   34.109764   61.507851  -15.715381   63.234944   53.646563   55.993829   44.990267   26.740335  -26.164445   61.269729   32.740310   52.229173   52.140905  -40.186596   52.887155  -56.790822   77.987109   27.292802    8.766249   50.025476   -2.368358   13.539034   50.403895   53.123145   20.069855   50.585921   79.225331   38.554214   -5.305143
   -8.489019   17.477102  -34.975708   33.862617   61.590705  -16.024524   63.170013   53.677830   55.814511   45.060001   26.424580  -26.386387   61.284711   33.064437   52.281132   52.128181  -39.928546   52.896069  -56.735050   77.882549   27.556793    9.097394   50.048562   -2.129425   13.263905   50.386173   53.123777   19.827105   50.546975   79.041401   38.405898   -5.157070
   -8.201589   17.762134  -35.057539   33.614826   61.674489  -16.333334   63.105779   53.708150   55.633535   45.128883   26.108716  -26.607175   61.299387   33.388540   52.332444   52.115435  -39.669513   52.904959  -56.676167   77.771282   27.819654    9.428701   50.071501   -1.889798   12.988593   50.368360   53.124329   19.584180   50.507433   78.858593   38.256157   -5.007559
   -7.913929   18.046614  -35.137055   33.366403   61.759213  -16.641809   63.042232   53.737543   55.450915   45.196927   25.792747  -26.826797   61.313772   33.712615   52.383119   52.102668  -39.409514   52.913827  -56.614191   77.653437   28.081367    9.760169   50.094295   -1.649488   12.713109   50.350455   53.124805   19.341100   50.467285   78.676922   38.104993   -4.856620
   -7.626047   18.330529  -35.214244   33.117360   61.844885  -16.949945   62.979365   53.766028   55.266664   45.264146   25.476679  -27.045237   61.327877   34.036660   52.433167   52.089879  -39.148562   52.922670  -56.549139   77.529146   28.341913   10.091795   50.116945   -1.408502   12.437468   50.332456   53.125203   19.097882   50.426521   78.496401   37.952405   -4.704264
   -7.337950   18.613868  -35.289095   32.867709   61.931513  -17.257738   62.917169   53.793623   55.080796   45.330551   25.160516  -27.262482   61.341716   34.360671   52.482600   52.077067  -38.886673   52.931491  -56.481029   77.398549   28.601275   10.423577   50.139455   -1.166848   12.161684   50.314362   53.125524   18.854547   50.385130   78.317043   37.798395   -4.550500
   -7.049644   18.896617  -35.361600   32.617464   62.019106  -17.565184   62.855637   53.820348   54.893324   45.396156   24.844262  -27.478518   61.355300   34.684643   52.531427   52.064233  -38.623860   52.940288  -56.409879   77.261791   28.859435   10.755511   50.161825   -0.924536   11.885770   50.296173   53.125770   18.611113   50.343103   78.138859   37.642965   -4.395339
   -6.761136   19.178764  -35.431747   32.366635   62.107673  -17.872278   62.794760   53.846220   54.704264   45.460973   24.527922  -27.693332   61.368641   35.008574   52.579659   52.051377  -38.360139   52.949062  -56.335708   77.119020   29.116374   11.087596   50.184058   -0.681573   11.609739   50.277888   53.125941   18.367599   50.300430   77.961861   37.486118   -4.238790
   -6.472433   19.460296  -35.499527   32.115235   62.197221  -18.179017   62.734531   53.871258   54.513628   45.525014   24.211501  -27.906908   61.381752   35.332460   52.627307   52.038496  -38.095522   52.957813  -56.258538   76.970385   29.372073   11.419829   50.206155   -0.437967   11.333604   50.259505   53.126038   18.124024   50.257098   77.786059   37.327855   -4.080864
   -6.183541   19.741201  -35.564931   31.863276   62.287758  -18.485396   62.674941   53.895480   54.321431   45.588290   23.895002  -28.119234   61.394645   35.656297   52.674380   52.025592  -37.830024   52.966540  -56.178387   76.816041   29.626516   11.752208   50.228119   -0.193727   11.057379   50.241022   53.126061   17.880406   50.213099   77.611460   37.168181   -3.921572
   -5.894468   20.021467  -35.627948   31.610771   62.379291  -18.791412   62.615982   53.918903   54.127688   45.650813   23.578431  -28.330293   61.407329   35.980082   52.720888   52.012664  -37.563659   52.975244  -56.095277   76.656142   29.879684   12.084729   50.249952    0.051139   10.781077   50.222440   53.126010   17.636764   50.168420   77.438075   37.007099   -3.760924
   -5.605220   20.301079  -35.688571   31.357729   62.471829  -19.097060   62.557648   53.941546   53.932413   45.712596   23.261791  -28.540073   61.419818   36.303809   52.766842   51.999712  -37.296438   52.983924  -56.009230   76.490842   30.131558   12.417391   50.271654    0.296623   10.504710   50.203756   53.125887   17.393116   50.123051   77.265911   36.844613   -3.598929
   -5.315805   20.580025  -35.746791   31.104165   62.565377  -19.402335   62.499930   53.963424   53.735621   45.773648   22.945087  -28.748558   61.432121   36.627476   52.812252   51.986735  -37.028376   52.992582  -55.920268   76.320296   30.382121   12.750191   50.293229    0.542716   10.228291   50.184970   53.125693   17.149480   50.076980   77.094974   36.680729   -3.435600
   -5.026228   20.858293  -35.802599   30.850089   62.659943  -19.707234   62.442821   53.984556   53.537327   45.833982   22.628322  -28.955734   61.444250   36.951079   52.857127   51.973732  -36.759485   53.001216  -55.828414   76.144657   30.631354   13.083126   50.314677    0.789411    9.951834   50.166081   53.125426   16.905874   50.030197   76.925272   36.515451   -3.270945
   -4.736496   21.135868  -35.855986   30.595512   62.755533  -20.011752   62.386313   54.004958   53.337545   45.893609   22.311502  -29.161587   61.456216   37.274613   52.901477   51.960704  -36.489778   53.009827  -55.733691   75.964079   30.879240   13.416194   50.336000    1.036700    9.675349   50.147086   53.125089   16.662315   49.982689   76.756809   36.348785   -3.104977
   -4.446617   21.412737  -35.906946   30.340448   62.852154  -20.315884   62.330399   54.024647   53.136291   45.952539   21.994629  -29.366100   61.468028   37.598074   52.945311   51.947651  -36.219267   53.018414  -55.636123   75.778712   31.125761   13.749394   50.357201    1.284574    9.398850   50.127986   53.124682   16.418823   49.934445   76.589593   36.180738   -2.937705
   -4.156597   21.688888  -35.955471   30.084907   62.949810  -20.619626   62.275072   54.043638   52.933579   46.010784   21.677709  -29.569261   61.479697   37.921458   52.988639   51.934570  -35.947965   53.026978  -55.535733   75.588706   31.370899   14.082721   50.378281    1.533025    9.122350   50.108778   53.124206   16.175413   49.885453   76.423627   36.011316   -2.769139
   -3.866443   21.964307  -36.001554   29.828900   63.048508  -20.922973   62.220323   54.061949   52.729424   46.068353   21.360744  -29.771053   61.491234   38.244762   53.031471   51.921464  -35.675882   53.035519  -55.432546   75.394205   31.614636   14.416174   50.399241    1.782046    8.845860   50.089461   53.123660   15.932104   49.835701   76.258916   35.840527   -2.599292
   -3.576161   22.238979  -36.045187   29.572440   63.148252  -21.225920   62.166147   54.079594   52.523842   46.125257   21.043739  -29.971461   61.502647   38.567980   53.073815   51.908330  -35.403032   53.044037  -55.326587   75.195355   31.856954   14.749750   50.420084    2.031628    8.569393   50.070034   53.123045   15.688913   49.785176   76.095463   35.668377   -2.428173
   -3.285758   22.512893  -36.086364   29.315537   63.249048  -21.528463   62.112536   54.096589   52.316847   46.181508   20.726698  -30.170471   61.513948   38.891108   53.115681   51.895168  -35.129426   53.052531  -55.217881   74.992296   32.097836   15.083448   50.440810    2.281764    8.292960   50.050497   53.122363   15.445856   49.733868   75.933271   35.494876   -2.255793
   -2.995241   22.786032  -36.125080   29.058203   63.350898  -21.830597   62.059482   54.112950   52.108456   46.237113   20.409624  -30.368068   61.525144   39.214142   53.157078   51.881979  -34.855074   53.061002  -55.106454   74.785164   32.337264   15.417263   50.461422    2.532445    8.016574   50.030846   53.121613   15.202951   49.681762   75.772345   35.320032   -2.082163
   -2.704617   23.058385  -36.161327   28.800450   63.453808  -22.132316   62.006980   54.128691   51.898682   46.292085   20.092521  -30.564235   61.536246   39.537077   53.198014   51.868761  -34.579989   53.069450  -54.992332   74.574094   32.575222   15.751195   50.481921    2.783663    7.740246   50.011082   53.120797   14.960215   49.628846   75.612686   35.143854   -1.907294
   -2.413893   23.329937  -36.195100   28.542287   63.557779  -22.433616   61.955022   54.143826   51.687542   46.346432   19.775393  -30.758958   61.547262   39.859909   53.238499   51.855515  -34.304182   53.077874  -54.875540   74.359216   32.811692   16.085240   50.502308    3.035412    7.463989   49.991203   53.119914   14.717664   49.575108   75.454296   34.966351   -1.731197
   -2.123075   23.600673  -36.226395   28.283727   63.662815  -22.734492   61.903601   54.158372   51.475051   46.400164   19.458243  -30.952221   61.558202   40.182633   53.278541   51.842240  -34.027662   53.086274  -54.756105   74.140656   33.046657   16.419396   50.522586    3.287682    7.187814   49.971207   53.118965   14.475315   49.520535   75.297176   34.787534   -1.553882
   -1.832169   23.870580  -36.255206   28.024781   63.768919  -23.034938   61.852710   54.172341   51.261224   46.453291   19.141076  -31.144009   61.569075   40.505244   53.318150   51.828935  -33.750441   53.094652  -54.634055   73.918539   33.280101   16.753661   50.542755    3.540467    6.911733   49.951092   53.117950   14.233185   49.465113   75.141329   34.607412   -1.375361
   -1.541184   24.139644  -36.281528   27.765459   63.876091  -23.334949   61.802343   54.185747   51.046075   46.505822   18.823894  -31.334306   61.579889   40.827738   53.357332   51.815601  -33.472530   53.103006  -54.509414   73.692983   33.512006   17.088032   50.562817    3.793758    6.635757   49.930859   53.116871   13.991289   49.408830   74.986754   34.425998   -1.195645
   -1.250125   24.407851  -36.305357   27.505773   63.984332  -23.634520   61.752494   54.198604   50.829622   46.557766   18.506701  -31.523097   61.590652   41.150109   53.396097   51.802236  -33.193938   53.111336  -54.382212   73.464103   33.742357   17.422507   50.582774    4.047547    6.359898   49.910504   53.115727   13.749644   49.351672   74.833453   34.243301   -1.014745
   -0.958999   24.675185  -36.326690   27.245733   64.093644  -23.933645   61.703155   54.210926   50.611878   46.609133   18.189502  -31.710365   61.601373   41.472353   53.434453   51.788840  -32.914676   53.119643  -54.252474   73.232013   33.971137   17.757083   50.602628    4.301827    6.084167   49.890027   53.114519   13.508266   49.293626   74.681426   34.059334   -0.832672
   -0.667814   24.941633  -36.345522   26.985350   64.204026  -24.232319   61.654321   54.222725   50.392860   46.659930   17.872298  -31.896096   61.612060   41.794464   53.472409   51.775413  -32.634754   53.127926  -54.120228   72.996819   34.198330   18.091759   50.622378    4.556590    5.808575   49.869427   53.113248   13.267171   49.234677   74.530672   33.874108   -0.649436
   -0.376576   25.207180  -36.361851   26.724636   64.315476  -24.530537   61.605984   54.234014   50.172582   46.710168   17.555094  -32.080272   61.622721   42.116438   53.509971   51.761955  -32.354182   53.136185  -53.985501   72.758627   34.423921   18.426530   50.642028    4.811828    5.533135   49.848700   53.111914   13.026374   49.174813   74.381190   33.687636   -0.465050
   -0.085291   25.471811  -36.375674   26.463600   64.427994  -24.828292   61.558139   54.244807   49.951059   46.759855   17.237893  -32.262880   61.633363   42.438268   53.547149   51.748464  -32.072968   53.144421  -53.848322   72.517537   34.647894   18.761396   50.661578    5.067534    5.257856   49.827847   53.110517   12.785892   49.114020   74.232981   33.499931   -0.279525
    0.206033   25.735512  -36.386987   26.202253   64.541578  -25.125579   61.510780   54.255114   49.728308   46.808999   16.920698  -32.443901   61.643995   42.759950   53.583950   51.734942  -31.791124   53.152634  -53.708717   72.273648   34.870234   19.096353   50.681030    5.323699    4.982750   49.806866   53.109058   12.545740   49.052284   74.086043   33.311007   -0.092870
    0.497389   25.998268  -36.395790   25.940607   64.656223  -25.422392   61.463900   54.264949   49.504343   46.857609   16.603513  -32.623321   61.654625   43.081478   53.620382   51.721386  -31.508657   53.160822  -53.566714   72.027052   35.090927   19.431399   50.700386    5.580317    4.707829   49.785754   53.107538   12.305933   48.989590   73.940373   33.120875    0.094901
    0.788771   26.260065  -36.402079   25.678671   64.771927  -25.718725   61.417492   54.274322   49.279178   46.905692   16.286341  -32.801123   61.665258   43.402846   53.656452   51.707797  -31.225578   53.168987  -53.422342   71.777842   35.309957   19.766532   50.719645    5.837379    4.433103   49.764511   53.105956   12.066486   48.925924   73.795972   32.929552    0.283778
