       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -40.720056  -28.308957  -71.349080  -54.397324   25.134707   43.385953    2.448677   -9.566655  -57.664471   15.479322   69.485592   68.638296   38.332170  -12.144946   34.597337   11.031569  -32.772744   15.147748   12.718368   95.720957  -20.779400   -1.020020   16.703969   95.456261   36.538133   11.950534    8.139859    3.924552   26.338121   11.363956    2.197292   21.817590
  -40.611403  -28.186679  -71.056290  -54.523573   25.233997   43.316530    2.453930   -9.348595  -57.971430   15.469061   69.394934   68.837659   38.131936  -12.211403   34.472494   11.039980  -32.982733   15.165908   12.219291   94.369088  -20.631893   -1.066953   16.694654   95.528033   36.637935   11.953315    8.177738    3.938779   26.435687   11.128071    2.145931   21.947881
  -40.503224  -28.063971  -70.762215  -54.648203   25.335304   43.246368    2.458629   -9.132483  -58.275882   15.458863   69.305197   69.038534   37.933592  -12.278537   34.348619   11.048302  -33.190199   15.184185   11.722031   93.036158  -20.483776   -1.113682   16.685447   95.598573   36.737868   11.956054    8.215388    3.953905   26.534099   10.901953    2.094631   22.077196
  -40.395505  -27.940822  -70.466878  -54.771221   25.438671   43.175455    2.462779   -8.918324  -58.577815   15.448729   69.216362   69.240932   37.737130  -12.346365   34.225713   11.056533  -33.395174   15.202581   11.226684   91.723242  -20.335049   -1.160217   16.676349   95.667883   36.837937   11.958749    8.252813    3.969933   26.633366   10.685037    2.043404   22.205530
  -40.288234  -27.817224  -70.170308  -54.892633   25.544145   43.103778    2.466386   -8.706121  -58.877219   15.438660   69.128412   69.444864   37.542539  -12.414903   34.103775   11.064675  -33.597689   15.221097   10.733340   90.431295  -20.185712   -1.206566   16.667359   95.735967   36.938152   11.961402    8.290014    3.986867   26.733494   10.476799    1.992263   22.332878
  -40.181399  -27.693168  -69.872529  -55.012445   25.651771   43.031324    2.469455   -8.495879  -59.174086   15.428656   69.041330   69.650341   37.349810  -12.484169   33.982805   11.072728  -33.797776   15.239733   10.242088   89.161153  -20.035768   -1.252736   16.658476   95.802828   37.038517   11.964012    8.326993    4.004712   26.834491   10.276749    1.941220   22.459233
  -40.074986  -27.568645  -69.573569  -55.130663   25.761597   42.958080    2.471991   -8.287597  -59.468407   15.418717   68.955097   69.857372   37.158931  -12.554179   33.862803   11.080692  -33.995467   15.258490    9.753016   87.913539  -19.885218   -1.298737   16.649699   95.868466   37.139042   11.966580    8.363752    4.023470   26.936363   10.084435    1.890288   22.584590
  -39.968984  -27.443646  -69.273455  -55.247294   25.873670   42.884033    2.473998   -8.081277  -59.760176   15.408845   68.869699   70.065969   36.969893  -12.624951   33.743768   11.088568  -34.190793   15.277370    9.266208   86.689061  -19.734064   -1.344577   16.641029   95.932886   37.239732   11.969106    8.400293    4.043146   27.039119    9.899436    1.839480   22.708945
  -39.863380  -27.318162  -68.972216  -55.362342   25.988041   42.809170    2.475481   -7.876919  -60.049387   15.399039   68.785116   70.276141   36.782683  -12.696501   33.625699   11.096357  -34.383784   15.296372    8.781746   85.488221  -19.582309   -1.390263   16.632465   95.996090   37.340596   11.971589    8.436619    4.063742   27.142764    9.721357    1.788808   22.832292
  -39.758161  -27.192187  -68.669880  -55.475815   26.104761   42.733476    2.476445   -7.674522  -60.336035   15.389300   68.701333   70.487899   36.597291  -12.768849   33.508595   11.104060  -34.574471   15.315499    8.299711   84.311413  -19.429957   -1.435805   16.624006   96.058081   37.441641   11.974032    8.472731    4.085263   27.247307    9.549833    1.738285   22.954625
  -39.653316  -27.065710  -68.366477  -55.587719   26.223881   42.656938    2.476895   -7.474083  -60.620117   15.379628   68.618334   70.701251   36.413703  -12.842012   33.392455   11.111675  -34.762884   15.334750    7.820179   83.158935  -19.277010   -1.481211   16.615652   96.118860   37.542874   11.976432    8.508632    4.107711   27.352754    9.384519    1.687925   23.075940
  -39.548832  -26.938724  -68.062034  -55.698060   26.345456   42.579543    2.476834   -7.275600  -60.901630   15.370025   68.536103   70.916207   36.231910  -12.916010   33.277276   11.119205  -34.949054   15.354127    7.343226   82.030991  -19.123474   -1.526489   16.607402   96.178430   37.644303   11.978791    8.544322    4.131091   27.459111    9.225095    1.637741   23.196233
  -39.444697  -26.811221  -67.756584  -55.806844   26.469539   42.501277    2.476266   -7.079070  -61.180571   15.360489   68.454623   71.132777   36.051897  -12.990860   33.163057   11.126650  -35.133010   15.373631    6.868925   80.927697  -18.969353   -1.571648   16.599256   96.236794   37.745936   11.981110    8.579805    4.155404   27.566386    9.071261    1.587746   23.315498
  -39.340898  -26.683194  -67.450155  -55.914078   26.596188   42.422125    2.475197   -6.884488  -61.456941   15.351022   68.373879   71.350970   35.873652  -13.066582   33.049796   11.134010  -35.314783   15.393263    6.397344   79.849092  -18.814652   -1.616696   16.591214   96.293955   37.847780   11.983387    8.615082    4.180655   27.674584    8.922736    1.537953   23.433731
  -39.237424  -26.554634  -67.142779  -56.019767   26.725460   42.342073    2.473629   -6.691848  -61.730740   15.341623   68.293855   71.570795   35.697162  -13.143196   32.937490   11.141285  -35.494401   15.413023    5.928552   78.795138  -18.659377   -1.661641   16.583275   96.349913   37.949844   11.985624    8.650154    4.206846   27.783713    8.779255    1.488376   23.550928
  -39.134262  -26.425534  -66.834488  -56.123917   26.857413   42.261106    2.471566   -6.501146  -62.001967   15.332293   68.214536   71.792259   35.522415  -13.220723   32.826137   11.148476  -35.671894   15.432912    5.462614   77.765731  -18.503534   -1.706492   16.575439   96.404673   38.052134   11.987820    8.685024    4.233981   27.893778    8.640571    1.439028   23.667085
  -39.031401  -26.295887  -66.525312  -56.226536   26.992109   42.179211    2.469012   -6.312374  -62.270625   15.323032   68.135907   72.015372   35.349396  -13.299181   32.715734   11.155584  -35.847290   15.452932    4.999590   76.760707  -18.347130   -1.751257   16.567705   96.458236   38.154659   11.989976    8.719694    4.262062   28.004786    8.506449    1.389923   23.782197
  -38.928829  -26.165686  -66.215285  -56.327628   27.129610   42.096372    2.465971   -6.125525  -62.536717   15.313840   68.057954   72.240141   35.178092  -13.378593   32.606278   11.162609  -36.020618   15.473083    4.539542   75.779846  -18.190172   -1.795946   16.560073   96.510604   38.257428   11.992092    8.754165    4.291092   28.116742    8.376672    1.341074   23.896261
  -38.826533  -26.034924  -65.904438  -56.427201   27.269979   42.012575    2.462445   -5.940592  -62.800246   15.304718   67.980660   72.466574   35.008490  -13.458980   32.497765   11.169551  -36.191906   15.493367    4.082525   74.822882  -18.032669   -1.840565   16.552542   96.561780   38.360447   11.994168    8.788439    4.321074   28.229652    8.251031    1.292494   24.009272
  -38.724502  -25.903593  -65.592805  -56.525259   27.413282   41.927805    2.458439   -5.757566  -63.061215   15.295665   67.904011   72.694679   34.840575  -13.540362   32.390194   11.176412  -36.361182   15.513784    3.628594   73.889504  -17.874629   -1.885124   16.545113   96.611766   38.463726   11.996205    8.822518    4.352012   28.343523    8.129332    1.244198   24.121228
  -38.622723  -25.771688  -65.280418  -56.621810   27.559585   41.842045    2.453955   -5.576437  -63.319630   15.286682   67.827994   72.924463   34.674334  -13.622763   32.283559   11.183191  -36.528475   15.534335    3.177800   72.979367  -17.716060   -1.929632   16.537784   96.660563   38.567272   11.998202    8.856403    4.383906   28.458358    8.011391    1.196198   24.232123
  -38.521186  -25.639201  -64.967311  -56.716859   27.708957   41.755282    2.448997   -5.397197  -63.575496   15.277768   67.752594   73.155933   34.509751  -13.706204   32.177858   11.189888  -36.693811   15.555022    2.730192   72.092091  -17.556972   -1.974096   16.530556   96.708175   38.671094   12.000160    8.890096    4.416761   28.574164    7.897035    1.148509   24.341956
