       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   15.329888   31.581227   -3.287337   40.622820   61.779992   -9.604073   47.336349   44.543771   43.853257   28.727159   22.210190  -56.352659   74.753630   39.844570   62.623339   47.651437   -5.722071   56.300364  -31.042682   55.102164   35.374036   26.330925   54.384516  -16.268163  -23.438487   47.188681   46.564467    1.483340   53.850187   49.594252   29.147667  -34.144162
   15.558034   31.733034   -3.426596   40.576110   61.755256   -9.846859   47.327150   44.559852   43.830928   28.964556   21.919818  -56.494637   74.646394   39.951679   62.941844   47.652582   -5.438686   56.362820  -30.853989   55.051697   35.488760   26.558518   54.530755  -15.971960  -23.714948   47.164399   46.578466    1.206753   53.540914   49.574952   28.956583  -34.080352
   15.786040   31.883385   -3.564519   40.528909   61.730914  -10.088873   47.317938   44.575863   43.808468   29.201363   21.629369  -56.634163   74.534883   40.057464   63.260088   47.653640   -5.154925   56.425939  -30.663788   55.000412   35.602168   26.785028   54.675368  -15.675371  -23.991093   47.139520   46.592472    0.930036   53.231017   49.555697   28.764146  -34.014201
   16.013886   32.032281   -3.701094   40.481211   61.706958  -10.330105   47.308712   44.591806   43.785875   29.437569   21.338849  -56.771208   74.419253   40.161933   63.578066   47.654609   -4.870803   56.489731  -30.472094   54.948299   35.714271   27.010445   54.818350  -15.378401  -24.266919   47.114033   46.606484    0.653197   52.920513   49.536488   28.570364  -33.945717
   16.241551   32.179720   -3.836313   40.433009   61.683384  -10.570544   47.299473   44.607681   43.763146   29.673162   21.048265  -56.905742   74.299658   40.265094   63.895772   47.655489   -4.586331   56.554203  -30.278924   54.895341   35.825079   27.234756   54.959694  -15.081054  -24.542422   47.087928   46.620503    0.376245   52.609418   49.517326   28.375247  -33.874911
   16.469014   32.325705   -3.970165   40.384294   61.660184  -10.810180   47.290220   44.623488   43.740279   29.908132   20.757623  -57.037737   74.176252   40.366955   64.213203   47.656278   -4.301522   56.619365  -30.084294   54.841526   35.934601   27.457951   55.099397  -14.783333  -24.817597   47.061194   46.634531    0.099187   52.297747   49.498212   28.178803  -33.801793
   16.696254   32.470235   -4.102641   40.335059   61.637352  -11.049002   47.280955   44.639229   43.717274   30.142469   20.466930  -57.167161   74.049188   40.467525   64.530352   47.656976   -4.016391   56.685225  -29.888221   54.786840   36.042850   27.680020   55.237455  -14.485242  -25.092440   47.033820   46.648566   -0.177968   51.985516   49.479147   27.981043  -33.726372
   16.923248   32.613313   -4.233732   40.285296   61.614881  -11.287000   47.271676   44.654904   43.694127   30.376161   20.176190  -57.293986   73.918617   40.566813   64.847214   47.657580   -3.730949   56.751793  -29.690719   54.731270   36.149835   27.900951   55.373862  -14.186784  -25.366947   47.005794   46.662609   -0.455211   51.672739   49.460131   27.781976  -33.648660
   17.149976   32.754940   -4.363429   40.234998   61.592765  -11.524164   47.262384   44.670514   43.670837   30.609198   19.885411  -57.418184   73.784689   40.664827   65.163785   47.658090   -3.445210   56.819076  -29.491807   54.674802   36.255569   28.120733   55.508616  -13.887964  -25.641112   46.977105   46.676662   -0.732536   51.359432   49.441166   27.581612  -33.568667
   17.376416   32.895120   -4.491722   40.184155   61.570998  -11.760481   47.253079   44.686059   43.647402   30.841569   19.594599  -57.539724   73.647551   40.761577   65.480058   47.658505   -3.159186   56.887085  -29.291498   54.617422   36.360062   28.339356   55.641714  -13.588785  -25.914932   46.947742   46.690723   -1.009932   51.045607   49.422252   27.379961  -33.486404
