       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -39.832051  -27.322771  -68.852095  -55.375849   25.989868   42.837408    2.474308   -7.889045  -60.085692   15.397101   68.748428   70.261020   36.744437  -12.706961   33.608462   11.097357  -34.454062   15.300686    8.682439   85.220644  -19.595535   -1.375874   16.630721   96.026500   37.362808   11.969093    8.443261    4.055332   27.155136    9.720177    1.780678   22.885122
  -39.726915  -27.196754  -68.549446  -55.488893   26.106654   42.761716    2.475192   -7.686478  -60.372313   15.387374   68.664870   70.472771   36.559391  -12.779446   33.491483   11.105045  -34.644090   15.319839    8.200885   84.048988  -19.443145   -1.421402   16.622278   96.088165   37.463894   11.971527    8.479335    4.076868   27.259782    9.548841    1.730218   23.007129
  -39.622150  -27.070236  -68.245738  -55.600369   26.225843   42.685180    2.475561   -7.485871  -60.656366   15.377714   68.582090   70.686117   36.376148  -12.852749   33.375467   11.112647  -34.831854   15.339116    7.721851   82.901725  -19.290161   -1.466794   16.613940   96.148620   37.565170   11.973920    8.515198    4.099331   27.365332    9.383700    1.679924   23.128117
  -39.517743  -26.943209  -67.941002  -55.710283   26.347487   42.607787    2.475421   -7.287221  -60.937847   15.368121   68.500074   70.901066   36.194696  -12.926888   33.260412   11.120164  -35.017382   15.358520    7.245410   81.779038  -19.136587   -1.512059   16.605706   96.207867   37.666643   11.976271    8.550851    4.122726   27.471793    9.224433    1.629809   23.248080
  -39.413681  -26.815663  -67.635268  -55.818643   26.471641   42.529522    2.474775   -7.090525  -61.216755   15.358597   68.418805   71.117629   36.015023  -13.001884   33.146317   11.127595  -35.200706   15.378050    6.771635   80.681027  -18.982427   -1.557204   16.597576   96.265909   37.768322   11.978581    8.586296    4.147055   27.579173    9.070743    1.579886   23.367015
  -39.309954  -26.687593  -67.328566  -55.925454   26.598362   42.450373    2.473628   -6.895779  -61.493090   15.349141   68.338267   71.335814   35.837116  -13.077756   33.033179   11.134942  -35.381855   15.397709    6.300596   79.607712  -18.827686   -1.602239   16.589549   96.322747   37.870213   11.980851    8.621536    4.172322   27.687477    8.922347    1.530169   23.484916
  -39.206548  -26.558989  -67.020927  -56.030721   26.727707   42.370323    2.471982   -6.702977  -61.766851   15.339754   68.258445   71.555630   35.660961  -13.154522   32.920995   11.142204  -35.560857   15.417496    5.832358   78.559041  -18.672371   -1.647172   16.581626   96.378385   37.972325   11.983079    8.656572    4.198529   27.796712    8.778984    1.480671   23.601779
  -39.103452  -26.429844  -66.712382  -56.134453   26.859735   42.289360    2.469843   -6.512114  -62.038039   15.330435   68.179324   71.777086   35.486546  -13.232204   32.809764   11.149382  -35.737743   15.437412    5.366986   77.534894  -18.516488   -1.692011   16.573805   96.432825   38.074666   11.985267    8.691406    4.225680   27.906884    8.640407    1.431404   23.717601
  -39.000654  -26.300152  -66.402964  -56.236653   26.994508   42.207468    2.467212   -6.323183  -62.306656   15.321186   68.100889   72.000189   35.313857  -13.310822   32.699482   11.156477  -35.912540   15.457460    4.904542   76.535096  -18.360043   -1.736765   16.566086   96.486068   38.177243   11.987415    8.726039    4.253777   28.017999    8.506381    1.382384   23.832376
  -38.898141  -26.169905  -66.092705  -56.337330   27.132086   42.124632    2.464095   -6.136177  -62.572705   15.312006   68.023124   72.224949   35.142881  -13.390396   32.590146   11.163489  -36.085277   15.477639    4.445085   75.559414  -18.203044   -1.781441   16.558469   96.538117   38.280065   11.989523    8.760474    4.282824   28.130063    8.376690    1.333623   23.946102
  -38.795902  -26.039096  -65.781638  -56.436488   27.272534   42.040839    2.460494   -5.951088  -62.836189   15.302895   67.946015   72.451372   34.973604  -13.470948   32.481753   11.170418  -36.255983   15.497951    3.988671   74.607573  -18.045499   -1.826050   16.550954   96.588975   38.383139   11.991591    8.794713    4.312824   28.243083    8.251127    1.285135   24.058774
  -38.693925  -25.907718  -65.469794  -56.534134   27.415917   41.956072    2.456413   -5.767908  -63.097112   15.293854   67.869548   72.679467   34.806012  -13.552500   32.374301   11.177266  -36.424685   15.518396    3.535353   73.679253  -17.887416   -1.870599   16.543539   96.638643   38.486474   11.993619    8.828757    4.343778   28.357062    8.129497    1.236933   24.170389
  -38.592197  -25.775765  -65.157208  -56.630274   27.562302   41.870317    2.451855   -5.586627  -63.355479   15.284882   67.793708   72.909240   34.640090  -13.635074   32.267785   11.184032  -36.591411   15.538976    3.085183   72.774100  -17.728804   -1.915096   16.536226   96.687124   38.590078   11.995608    8.862607    4.375691   28.472008    8.011618    1.189031   24.280943
  -38.490708  -25.643230  -64.843914  -56.724913   27.711758   41.783558    2.446822   -5.407236  -63.611296   15.275980   67.718481   73.140698   34.475825  -13.718693   32.162202   11.190717  -36.756188   15.559691    2.638209   71.891729  -17.569672   -1.959550   16.529012   96.734419   38.693960   11.997557    8.896266    4.408563   28.587924    7.897316    1.141443   24.390432
  -38.389445  -25.510108  -64.529945  -56.818058   27.864354   41.695780    2.441319   -5.229725  -63.864568   15.267148   67.643853   73.373848   34.313202  -13.803379   32.057548   11.197321  -36.919044   15.580543    2.194476   71.031728  -17.410031   -2.003971   16.521899   96.780531   38.798126   11.999468    8.929735    4.442399   28.704817    7.786427    1.094181   24.498854
  -38.288397  -25.376392  -64.215336  -56.909715   28.020164   41.606966    2.435347   -5.054082  -64.115303   15.258386   67.569809   73.608697   34.152206  -13.889156   31.953819   11.203845  -37.080005   15.601533    1.754029   70.193666  -17.249892   -2.048366   16.514886   96.825462   38.902587   12.001339    8.963016    4.477201   28.822690    7.678796    1.047260   24.606205
  -38.187552  -25.242076  -63.900121  -56.999890   28.179260   41.517101    2.428909   -4.880298  -64.363508   15.249694   67.496337   73.845250   33.992824  -13.976049   31.851011   11.210289  -37.239099   15.622661    1.316907   69.377090  -17.089266   -2.092743   16.507971   96.869213   39.007349   12.003172    8.996111    4.512971   28.941549    7.574278    1.000692   24.712482
  -38.086898  -25.107156  -63.584335  -57.088587   28.341718   41.426169    2.422009   -4.708360  -64.609191   15.241071   67.423422   74.083512   33.835040  -14.064081   31.749120   11.216654  -37.396350   15.643929    0.883149   68.581538  -16.928164   -2.137113   16.501156   96.911787   39.112423   12.004967    9.029020    4.549711   29.061397    7.472733    0.954492   24.817682
  -37.986424  -24.971625  -63.268013  -57.175814   28.507617   41.334154    2.414648   -4.538256  -64.852361   15.232519   67.351052   74.323490   33.678839  -14.153279   31.648142   11.222940  -37.551786   15.665338    0.452790   67.806535  -16.766599   -2.181483   16.494439   96.953186   39.217815   12.006723    9.061746    4.587424   29.182238    7.374028    0.908672   24.921803
  -37.886118  -24.835480  -62.951190  -57.261576   28.677036   41.241039    2.406829   -4.369974  -65.093026   15.224037   67.279212   74.565188   33.524206  -14.243667   31.548071   11.229148  -37.705432   15.686889    0.025864   67.051598  -16.604584   -2.225862   16.487821   96.993410   39.323535   12.008441    9.094290    4.626113   29.304077    7.278040    0.863247   25.024840
  -37.785968  -24.698714  -62.633903  -57.345878   28.850056   41.146807    2.398554   -4.203500  -65.331196   15.215625   67.207889   74.808610   33.371128  -14.335271   31.448904   11.235277  -37.857314   15.708583   -0.397600   66.316240  -16.442132   -2.270259   16.481301   97.032463   39.429592   12.010121    9.126654    4.665779   29.426916    7.184649    0.818228   25.126792
  -37.685963  -24.561324  -62.316186  -57.428726   29.026762   41.051442    2.389827   -4.038822  -65.566882   15.207282   67.137072   75.053761   33.219588  -14.428120   31.350637   11.241329  -38.007456   15.730421   -0.817573   65.599972  -16.279258   -2.314683   16.474878   97.070345   39.535993   12.011764    9.158840    4.706426   29.550760    7.093743    0.773629   25.227657
  -37.586092  -24.423306  -61.998075  -57.510126   29.207238   40.954926    2.380647   -3.875926  -65.800093   15.199010   67.066746   75.300645   33.069571  -14.522239   31.253263   11.247303  -38.155884   15.752404   -1.234028   64.902304  -16.115976   -2.359143   16.468553   97.107058   39.642747   12.013369    9.190848    4.748054   29.675610    7.005214    0.729463   25.327431
  -37.486343  -24.284655  -61.679607  -57.590082   29.391573   40.857242    2.371019   -3.714799  -66.030841   15.190807   66.996898   75.549264   32.921063  -14.617656   31.156778   11.253201  -38.302622   15.774534   -1.646943   64.222746  -15.952302   -2.403647   16.462325   97.142603   39.749864   12.014937    9.222681    4.790667   29.801470    6.918960    0.685744   25.426113
  -37.386705  -24.145367  -61.360818  -57.668601   29.579857   40.758373    2.360943   -3.555425  -66.259137   15.182675   66.927517   75.799622   32.774049  -14.714401   31.061178   11.259022  -38.447695   15.796811   -2.056297   63.560814  -15.788250   -2.448205   16.456194   97.176983   39.857352   12.016468    9.254339    4.834267   29.928341    6.834884    0.642483   25.523699
