 Block           AATR
 Block 01:     0.11496
 Block 02:     0.16058
 Block 03:     0.29088
 Block 04:     0.38989
 Block 05:     0.21300
 Block 06:     0.09153
 Block 07:     0.19363
 Block 08:     0.10151
 Block 09:     0.16213
 Block 10:     0.10369
 Block 11:     0.05555
 Block 12:     0.07339
 Block 13:     0.05343
 Block 14:     0.05096
 Block 15:     0.04337
 Block 16:     0.03674
 Block 17:     0.02765
 Block 18:     0.02742
 Block 19:     0.03134
 Block 20:     0.03691
 Block 21:     0.09333
 Block 22:     0.15772
 Block 23:     0.17103
 Block 24:     0.16603
 Block 25:     0.16129
 Block 26:     0.18465
 Block 27:     0.21323
 Block 28:     0.20268
 Block 29:     0.19998
 Block 30:     0.21374
 Block 31:     0.25275
 Block 32:     0.27949
 Block 33:     0.30020
 Block 34:     0.26785
 Block 35:     0.27096
 Block 36:     0.25758
 Block 37:     0.24024
 Block 38:     0.28652
 Block 39:     0.30110
 Block 40:     0.29209
 Block 41:     0.32542
 Block 42:     0.23292
 Block 43:     0.25778
 Block 44:     0.34312
 Block 45:     0.34669
 Block 46:     0.31217
 Block 47:     0.37555
 Block 48:     0.20391
