 Block           AATR
 Block 01:     0.03195
 Block 02:     0.02691
 Block 03:     0.02670
 Block 04:     0.02681
 Block 05:     0.02495
 Block 06:     0.02257
 Block 07:     0.02465
 Block 08:     0.04840
 Block 09:     0.10335
 Block 10:     0.12176
 Block 11:     0.12498
 Block 12:     0.11978
 Block 13:     0.11480
 Block 14:     0.12970
 Block 15:     0.14750
 Block 16:     0.14256
 Block 17:     0.14289
 Block 18:     0.13788
 Block 19:     0.15767
 Block 20:     0.15633
 Block 21:     0.16018
 Block 22:     0.16681
 Block 23:     0.17430
 Block 24:     0.17245
 Block 25:     0.15304
 Block 26:     0.14651
 Block 27:     0.15856
 Block 28:     0.17482
 Block 29:     0.17544
 Block 30:     0.17068
 Block 31:     0.16223
 Block 32:     0.16032
 Block 33:     0.17175
 Block 34:     0.17446
 Block 35:     0.17783
 Block 36:     0.18864
 Block 37:     0.15078
 Block 38:     0.12952
 Block 39:     0.12647
 Block 40:     0.09195
 Block 41:     0.07472
 Block 42:     0.06962
 Block 43:     0.06016
 Block 44:     0.04784
 Block 45:     0.04994
 Block 46:     0.04331
 Block 47:     0.03709
 Block 48:     0.03808
