 Block           AATR
 Block 01:     0.05537
 Block 02:     0.04921
 Block 03:     0.05549
 Block 04:     0.04897
 Block 05:     0.05008
 Block 06:     0.05268
 Block 07:     0.05889
 Block 08:     0.07220
 Block 09:     0.07842
 Block 10:     0.09585
 Block 11:     0.11022
 Block 12:     0.10837
 Block 13:     0.11189
 Block 14:     0.09652
 Block 15:     0.12452
 Block 16:     0.15157
 Block 17:     0.14112
 Block 18:     0.14006
 Block 19:     0.12945
 Block 20:     0.13659
 Block 21:     0.14789
 Block 22:     0.17612
 Block 23:     0.17748
 Block 24:     0.18155
 Block 25:     0.17036
 Block 26:     0.17033
 Block 27:     0.15339
 Block 28:     0.16480
 Block 29:     0.14096
 Block 30:     0.12927
 Block 31:     0.13211
 Block 32:     0.12834
 Block 33:     0.12610
 Block 34:     0.13303
 Block 35:     0.12592
 Block 36:     0.13501
 Block 37:     0.12447
 Block 38:     0.10691
 Block 39:     0.08691
 Block 40:     0.09074
 Block 41:     0.08910
 Block 42:     0.08664
 Block 43:     0.07884
 Block 44:     0.05999
 Block 45:     0.05859
 Block 46:     0.05341
 Block 47:     0.05157
 Block 48:     0.05307
