 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
 Epoch 0002:     0.0007     0.0000     0.0792     0.0000     0.0000     0.3255    -0.1769    -0.2872     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0162     0.0000     0.0000     0.0694     0.0000     0.1716     0.0000    -0.0102     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0022     0.0000     0.0000
 Epoch 0003:     0.0162     0.0000     0.1042     0.0000     0.0000     0.2629    -0.1609    -0.2222     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0055     0.0000     0.0000     0.0854     0.0000     0.1360     0.0000    -0.0156     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0777     0.0000     0.0000
 Epoch 0004:    -0.0240     0.0000     0.1008     0.0000     0.0000     0.2929    -0.1321    -0.1347     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0003     0.0000     0.0000     0.0853     0.0000     0.1258     0.0000    -0.0831     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0716     0.0000     0.0000
 Epoch 0005:     0.0046     0.0000     0.1285     0.0000     0.0000     0.2464    -0.1617    -0.1768     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0303     0.0000     0.0000     0.0560     0.0000     0.1531     0.0000    -0.0744     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0814     0.0000     0.0000
 Epoch 0006:    -0.0330     0.0000     0.1005     0.0000     0.0000     0.2507    -0.1607    -0.2484     0.0000     0.0000     0.0000     0.0000     0.0000     0.0137     0.0000     0.0000     0.1020     0.0000     0.1318     0.0000    -0.0425     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0416     0.0000     0.0000
 Epoch 0007:    -0.0037     0.0000     0.1019     0.0000     0.0000     0.3189    -0.1543    -0.2813     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0068     0.0000     0.0000     0.0609     0.0000     0.0714     0.0000    -0.0197     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0398     0.0000     0.0000
 Epoch 0008:    -0.0245     0.0000     0.1602     0.0000     0.0000     0.2407    -0.1766    -0.2709     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0248     0.0000     0.0000     0.0738     0.0000     0.0123     0.0000    -0.0787     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0667     0.0000     0.0000
 Epoch 0009:    -0.0514     0.0000     0.1101     0.0000     0.0000     0.1746    -0.1357    -0.3149     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0177     0.0000     0.0000     0.0478     0.0000     0.0966     0.0000    -0.0818     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0531     0.0000     0.0000
 Epoch 0010:    -0.0248     0.0000     0.1161     0.0000     0.0000     0.2940    -0.1804    -0.3101     0.0000     0.0000     0.0000     0.0000     0.0000     0.0038     0.0000     0.0000     0.0457     0.0000     0.1147     0.0000    -0.0928     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0707     0.0000     0.0000
 Epoch 0011:    -0.0376     0.0000     0.0716     0.0000     0.0000     0.1882    -0.1461    -0.1663     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0074     0.0000     0.0000     0.0874     0.0000    -0.0480     0.0000    -0.1289     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0867     0.0000     0.0000
 Epoch 0012:    -0.0423     0.0000     0.1094     0.0000     0.0000     0.2609    -0.1374    -0.2492     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0101     0.0000     0.0000     0.0343     0.0000     0.0949     0.0000    -0.0099     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0633     0.0000     0.0000
 Epoch 0013:    -0.0107     0.0000     0.1145     0.0000     0.0000     0.2650    -0.1738    -0.2666     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0245     0.0000     0.0000     0.0514     0.0000     0.0485     0.0000     0.0099     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0569     0.0000     0.0000
 Epoch 0014:    -0.0389     0.0000     0.1100     0.0000     0.0000     0.2231    -0.1757    -0.1798     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0072     0.0000     0.0000     0.0491     0.0000     0.0257     0.0000    -0.0036     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0551     0.0000     0.0000
 Epoch 0015:    -0.0379     0.0000     0.0832     0.0000     0.0000     0.2384    -0.1790    -0.0630     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0019     0.0000     0.0000     0.0231     0.0000     0.0496     0.0000    -0.1131     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0836     0.0000     0.0000
 Epoch 0016:    -0.0167     0.0000     0.1403     0.0000     0.0000     0.3182    -0.1469    -0.2979     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0110     0.0000     0.0000     0.0397     0.0000    -0.0111     0.0000    -0.0834     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0243     0.0000     0.0000
 Epoch 0017:    -0.0557     0.0000     0.0588     0.0000     0.0000     0.2182    -0.2107    -0.1190     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0189     0.0000     0.0000     0.0536     0.0000     0.0511     0.0000    -0.1032     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0899     0.0000     0.0000
 Epoch 0018:    -0.0048     0.0000     0.0981     0.0000     0.0000     0.3281    -0.1527    -0.1732     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0018     0.0000     0.0000     0.0360     0.0000     0.0386     0.0000    -0.0078     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0378     0.0000     0.0000
 Epoch 0019:    -0.0325     0.0000     0.0906     0.0000     0.0000     0.2088    -0.2350    -0.2381     0.0000     0.0000     0.0000     0.0000     0.0000     0.0036     0.0000     0.0000    -0.0060     0.0000     0.0562     0.0000    -0.0681     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0527     0.0000     0.0000
 Epoch 0020:    -0.0135     0.0000     0.0667     0.0000     0.0000     0.2382    -0.1374    -0.2214     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0121     0.0000     0.0000     0.0069     0.0000     0.0504     0.0000    -0.0577     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0622     0.0000     0.0000
 Epoch 0021:    -0.0273     0.0000     0.1202     0.0000     0.0000     0.2870    -0.1588    -0.1770     0.0000     0.0000     0.0000     0.0000     0.0000     0.0206     0.0000     0.0000     0.0434     0.0000     0.1078     0.0000    -0.1196     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0038     0.0000     0.0000
 Epoch 0022:    -0.0059     0.0000     0.1097     0.0000     0.0000     0.2176    -0.1929    -0.2668     0.0000     0.0000     0.0000     0.0000     0.0000     0.0089     0.0000     0.0000    -0.0014     0.0000     0.0364     0.0000    -0.0826     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0400     0.0000     0.0000
 Epoch 0023:    -0.0018     0.0000     0.1591     0.0000     0.0000     0.2442    -0.2535    -0.1710     0.0000     0.0000     0.0000     0.0000     0.0000     0.0084     0.0000     0.0000     0.0247     0.0000     0.0855     0.0000    -0.0536     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1076     0.0000     0.0000
 Epoch 0024:    -0.0182     0.0000     0.1233     0.0000     0.0000     0.1912    -0.1688    -0.1616     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0040     0.0000     0.0000     0.0161     0.0000     0.1569     0.0000    -0.0174     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0272     0.0000     0.0000
 Epoch 0025:    -0.0363     0.0000     0.1037     0.0000     0.0000     0.1921    -0.2601    -0.2775     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0038     0.0000     0.0000     0.0453     0.0000     0.0197     0.0000    -0.0632     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0842     0.0000     0.0000
