 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   54.74354   26.39447   14.29136   26.60504    0.00000   19.20271    0.00000   20.73229    0.00000    0.00000    0.00000   45.20303   24.81610    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   53.82762   26.93144   14.89177   26.41492    0.00000   18.67524    0.00000   21.02553    0.00000    0.00000    0.00000   50.73465   23.80256    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   53.01273   27.65139   17.31041   26.58862    0.00000   19.76040    0.00000   21.62518    0.00000    0.00000    0.00000   52.54489   23.57229    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.05725   28.57578   16.94323   27.62876    0.00000   20.06228    0.00000   22.53827    0.00000    0.00000    0.00000   55.50732   23.29659    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.78680   28.70211   16.32514   28.13368    0.00000   19.87818    0.00000   22.36760    0.00000    0.00000    0.00000   55.43904   23.96301    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.41544   29.04125   15.62918   28.63508    0.00000   19.57188    0.00000   22.32782    0.00000    0.00000    0.00000   56.62494   24.15709    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.11706   29.00765   15.30544   28.78828    0.00000   19.56369    0.00000   22.23279    0.00000    0.00000    0.00000   56.59161   24.25764    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.74794   29.13072   14.90331   28.93678    0.00000   19.50077    0.00000   22.29639    0.00000    0.00000    0.00000   56.25271   24.07922    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.99802   29.11474   14.58972   28.86354    0.00000   19.35903    0.00000   22.26383    0.00000    0.00000    0.00000   55.71382   23.54574    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0011:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.46082   29.12848   14.55931   28.84117    0.00000   19.17026    0.00000   22.19307    0.00000    0.00000    0.00000   56.14671   23.21128    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0012:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.43324   29.21833   14.32514   29.05264    0.00000   18.94941    0.00000   21.91285    0.00000    0.00000    0.00000   56.57758   23.22450    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0013:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.24186   29.46470   14.25860   29.28563    0.00000   18.86805    0.00000   21.88127    0.00000    0.00000    0.00000   56.99369   23.18175    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0014:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   49.73017   29.50833   14.56998   29.31930    0.00000   18.82719    0.00000   21.89298    0.00000    0.00000    0.00000   57.57031   23.03497    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0015:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   49.42364   29.65630   15.01737   29.28210    0.00000   19.09012    0.00000   21.99891    0.00000    0.00000    0.00000   58.27496   22.93016    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0016:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   49.02537   29.75017   15.35077   29.14188    0.00000   19.35392    0.00000   22.11652    0.00000    0.00000    0.00000   58.35669   22.80906    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0017:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.73006   29.86401   15.33034   29.22326    0.00000   19.46259    0.00000   22.12535    0.00000    0.00000    0.00000   58.34374   22.86892    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0018:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.68388   30.03401   15.12945   29.46950    0.00000   19.43891    0.00000   22.04231    0.00000    0.00000    0.00000   58.34687   23.03930    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0019:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.68986   30.19086   14.90495   29.79754    0.00000   19.32910    0.00000   21.94237    0.00000    0.00000    0.00000   58.68176   23.18692    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0020:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.57760   30.24902   14.48901   30.00529    0.00000   19.08069    0.00000   21.72429    0.00000    0.00000    0.00000   59.16829   23.24947    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0021:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.41639   30.33290   14.25899   30.20016    0.00000   18.96332    0.00000   21.62511    0.00000    0.00000    0.00000   59.69095   23.31975    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0022:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.29647   30.39725   14.05848   30.37169    0.00000   18.85954    0.00000   21.57197    0.00000    0.00000    0.00000   60.15342   23.33894    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0023:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   48.00544   30.47666   14.03009   30.45767    0.00000   18.82875    0.00000   21.56729    0.00000    0.00000    0.00000   60.44242   23.28751    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0024:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   47.81380   30.53205   13.92882   30.59315    0.00000   18.71962    0.00000   21.51022    0.00000    0.00000    0.00000   60.64846   23.29303    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0025:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   47.50305   30.59167   13.96276   30.64198    0.00000   18.72658    0.00000   21.47921    0.00000    0.00000    0.00000    0.00000   23.25066    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0026:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   47.20046   30.72960   14.14901   30.73873    0.00000   18.85352    0.00000   21.53672    0.00000    0.00000    0.00000    0.00000   23.29540    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0027:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   46.90270   30.85497   14.24464   30.83567    0.00000   18.88484    0.00000   21.51438    0.00000    0.00000    0.00000    0.00000   23.31961    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0028:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   46.64479   30.99889   14.36871   30.92386    0.00000   18.93823    0.00000   21.51216    0.00000    0.00000    0.00000    0.00000   23.28996    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0029:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   46.48006   31.19044   14.42538   31.08620    0.00000   18.96585    0.00000   21.53082    0.00000    0.00000    0.00000    0.00000   23.27283    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0030:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   46.27042   31.30910   14.48225   31.20922    0.00000   19.01661    0.00000   21.53264    0.00000    0.00000    0.00000    0.00000   23.26289    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0031:    0.00000    0.00000    0.00000    0.00000    0.00000   52.63077    0.00000    0.00000    0.00000    0.00000    0.00000   46.07947   31.47174   14.58798   31.36084    0.00000   19.09890    0.00000   21.56831    0.00000    0.00000    0.00000    0.00000   23.29770    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0032:    0.00000    0.00000    0.00000    0.00000    0.00000   52.92522    0.00000    0.00000    0.00000    0.00000    0.00000   45.91610   31.62236   14.53443   31.50599    0.00000   19.09790    0.00000   21.52938    0.00000    0.00000    0.00000    0.00000   23.29870    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0033:    0.00000    0.00000    0.00000    0.00000    0.00000   53.47870    0.00000    0.00000    0.00000    0.00000    0.00000   45.62976   31.72157   14.48748   31.57437    0.00000   19.05584    0.00000   21.43631    0.00000    0.00000    0.00000    0.00000   23.24268    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0034:    0.00000    0.00000    0.00000    0.00000    0.00000   53.76698    0.00000    0.00000    0.00000    0.00000    0.00000   45.38657   31.84794   14.47695   31.65752    0.00000   19.04732    0.00000   21.38445    0.00000    0.00000    0.00000    0.00000   23.21569    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0035:    0.00000    0.00000    0.00000    0.00000    0.00000   53.81550    0.00000    0.00000    0.00000    0.00000    0.00000   45.05924   31.95701   14.57676   31.68163    0.00000   19.07804    0.00000   21.36823    0.00000    0.00000    0.00000    0.00000   23.15088    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0036:    0.00000    0.00000    0.00000    0.00000    0.00000   53.62590    0.00000    0.00000    0.00000    0.00000    0.00000   44.81361   32.06901   14.62413   31.73520    0.00000   19.12424    0.00000   21.37369    0.00000    0.00000    0.00000    0.00000   23.10995    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0037:    0.00000    0.00000    0.00000    0.00000    0.00000   53.31077    0.00000    0.00000    0.00000    0.00000    0.00000   44.55645   32.21035   14.63457   31.81339    0.00000   19.08946    0.00000   21.37857    0.00000    0.00000    0.00000    0.00000   23.08970    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0038:    0.00000    0.00000    0.00000    0.00000    0.00000   52.67489    0.00000    0.00000    0.00000    0.00000    0.00000   44.29961   32.34632   14.63243   31.89526    0.00000   19.07799    0.00000   21.34947    0.00000    0.00000    0.00000    0.00000   23.07909    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0039:    0.00000    0.00000    0.00000    0.00000    0.00000   52.43800    0.00000    0.00000    0.00000    0.00000    0.00000   43.99601   32.48902   14.66831   31.98780    0.00000   19.07765    0.00000   21.32934    0.00000    0.00000    0.00000    0.00000   23.03047    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0040:    0.00000    0.00000    0.00000    0.00000    0.00000   52.06526    0.00000    0.00000    0.00000    0.00000    0.00000   43.80212   32.63674   14.62037   32.15906    0.00000   19.07242    0.00000   21.26943    0.00000    0.00000    0.00000    0.00000   23.02427    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0041:    0.00000    0.00000    0.00000    0.00000    0.00000   51.49410    0.00000    0.00000    0.00000    0.00000    0.00000   43.53245   32.76877   14.57405   32.30345    0.00000   19.05685    0.00000   21.20354    0.00000    0.00000    0.00000    0.00000   23.02953    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0042:    0.00000    0.00000    0.00000    0.00000    0.00000   51.02576    0.00000    0.00000    0.00000    0.00000    0.00000   43.21367   32.84597   14.59148   32.35507    0.00000   19.07021    0.00000   21.16101    0.00000    0.00000    0.00000    0.00000   22.98675    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0043:    0.00000    0.00000    0.00000    0.00000    0.00000   50.53283    0.00000    0.00000    0.00000    0.00000    0.00000   42.92820   32.92849    0.00000   32.38725    0.00000   19.04562    0.00000   21.11601    0.00000    0.00000    0.00000    0.00000   22.91458    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0044:    0.00000    0.00000    0.00000    0.00000    0.00000   50.01631    0.00000    0.00000    0.00000    0.00000    0.00000   42.66042   33.02982    0.00000   32.43429    0.00000   19.04485    0.00000   21.08310    0.00000    0.00000    0.00000    0.00000   22.84510    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0045:    0.00000    0.00000    0.00000    0.00000    0.00000   49.52978    0.00000    0.00000    0.00000    0.00000    0.00000   42.45366   33.18901    0.00000   32.52899    0.00000   19.08268    0.00000   21.09713    0.00000    0.00000    0.00000    0.00000   22.80967    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0046:    0.00000    0.00000    0.00000    0.00000    0.00000   48.99453    0.00000    0.00000    0.00000    0.00000    0.00000   42.27432   33.33936    0.00000   32.64689    0.00000   19.09536    0.00000   21.08927    0.00000    0.00000    0.00000    0.00000   22.77985    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0047:    0.00000    0.00000    0.00000    0.00000    0.00000   48.61966    0.00000    0.00000    0.00000    0.00000    0.00000   42.09548   33.50027    0.00000   32.72138    0.00000   19.15342    0.00000   21.10940    0.00000    0.00000    0.00000    0.00000   22.77018    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0048:    0.00000    0.00000    0.00000    0.00000    0.00000   48.17534    0.00000    0.00000    0.00000    0.00000    0.00000   41.85463   33.63014    0.00000   32.79179    0.00000   19.17116    0.00000   21.09145    0.00000    0.00000    0.00000    0.00000   22.70571    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0049:    0.00000    0.00000    0.00000    0.00000    0.00000   47.84231    0.00000    0.00000    0.00000    0.00000    0.00000   41.67163   33.78713    0.00000   32.90280    0.00000   19.18760    0.00000   21.10652    0.00000    0.00000    0.00000    0.00000   22.67654    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0050:    0.00000    0.00000    0.00000    0.00000    0.00000   47.37985    0.00000    0.00000    0.00000    0.00000    0.00000   41.47980   33.94865    0.00000   32.99884    0.00000   19.23715    0.00000   21.11814    0.00000    0.00000    0.00000    0.00000   22.65552    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0051:    0.00000    0.00000    0.00000    0.00000    0.00000   47.01245    0.00000    0.00000    0.00000    0.00000    0.00000   41.25686   34.09091    0.00000   33.06438    0.00000   19.26918    0.00000   21.11014    0.00000    0.00000    0.00000    0.00000   22.59272  247.35382    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0052:    0.00000    0.00000    0.00000    0.00000    0.00000   46.66278    0.00000    0.00000    0.00000    0.00000    0.00000   41.04181   34.20407    0.00000   33.13011    0.00000   19.25900    0.00000   21.06886    0.00000    0.00000    0.00000    0.00000   22.54808  246.01773    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0053:    0.00000    0.00000    0.00000    0.00000    0.00000   46.22685    0.00000    0.00000    0.00000    0.00000    0.00000   40.85000   34.32694    0.00000   33.19810    0.00000   19.26587    0.00000   21.02993    0.00000    0.00000    0.00000    0.00000   22.52661  240.96478    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0054:    0.00000    0.00000    0.00000    0.00000    0.00000   45.87715    0.00000    0.00000    0.00000    0.00000    0.00000   40.67089   34.47527    0.00000   33.31557    0.00000   19.26221    0.00000   21.02712    0.00000    0.00000    0.00000    0.00000   22.52427  234.90128    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0055:    0.00000    0.00000    0.00000    0.00000    0.00000   45.46838    0.00000    0.00000    0.00000    0.00000    0.00000   40.50304   34.63647    0.00000   33.43346    0.00000   19.26305    0.00000   21.01313    0.00000    0.00000    0.00000    0.00000   22.50759  229.40182    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0056:    0.00000    0.00000    0.00000    0.00000    0.00000   45.07787    0.00000    0.00000    0.00000    0.00000    0.00000   40.33142   34.81346    0.00000   33.53824    0.00000   19.26252    0.00000   20.98533    0.00000    0.00000    0.00000    0.00000   22.50136  223.72202    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0057:    0.00000    0.00000    0.00000    0.00000    0.00000   44.66607    0.00000    0.00000    0.00000    0.00000    0.00000   40.15902   34.98091    0.00000   33.65297    0.00000   19.24223    0.00000   20.97057    0.00000    0.00000    0.00000    0.00000   22.49472  218.07558    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0058:    0.00000    0.00000    0.00000    0.00000    0.00000   44.11270    0.00000    0.00000    0.00000    0.00000    0.00000   39.98373   35.14025    0.00000   33.76996    0.00000   19.21294    0.00000   20.94621    0.00000    0.00000    0.00000    0.00000   22.49945  212.29752    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0059:    0.00000    0.00000    0.00000    0.00000    0.00000   43.66317    0.00000    0.00000    0.00000    0.00000    0.00000   39.80011   35.29141    0.00000   33.87844    0.00000   19.15884    0.00000   20.90030    0.00000    0.00000    0.00000    0.00000   22.47702  206.91303    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
