 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    5.62306    0.00000   15.66087    0.00000    0.00000   22.91460   27.06104    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   12.97117    0.00000    0.00000    0.00000    0.00000   18.70835    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.40621    0.00000    0.00000
 Epoch 0002:    5.62270    0.00000   15.62126    0.00000    0.00000   22.75183   27.14948    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   12.97927    0.00000    0.00000    0.00000    0.00000   18.62254    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.40729    0.00000    0.00000
 Epoch 0003:    5.61458    0.00000   15.56918    0.00000    0.00000   22.62041   27.22994   23.03031    0.00000    0.00000    0.00000    0.00000    0.00000   12.98201    0.00000    0.00000    0.00000    0.00000   18.55452    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.44615    0.00000    0.00000
 Epoch 0004:    5.62657    0.00000   15.51879    0.00000    0.00000   22.47394   27.29600   23.09767    0.00000    0.00000    0.00000    0.00000    0.00000   12.98216    0.00000    0.00000    0.00000    0.00000   18.49160    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.48193    0.00000    0.00000
 Epoch 0005:    5.62427    0.00000   15.45454    0.00000    0.00000   22.35073   27.37685   23.18607    0.00000    0.00000    0.00000    0.00000    0.00000   12.99732    0.00000    0.00000    0.00000    0.00000   18.41503    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.52263    0.00000    0.00000
 Epoch 0006:    5.64079    0.00000   15.40430    0.00000    0.00000   22.22540   27.45720   23.31028    0.00000    0.00000    0.00000    0.00000    0.00000   12.99047    0.00000    0.00000    0.00000    0.00000   18.34912    0.00000   10.48741    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.54343    0.00000    0.00000
 Epoch 0007:    5.64263    0.00000   15.35337    0.00000    0.00000   22.06596   27.53437   23.45092    0.00000    0.00000    0.00000    0.00000    0.00000   12.99385    0.00000    0.00000    0.00000    0.00000   18.31340    0.00000   10.49726    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.56333    0.00000    0.00000
 Epoch 0008:    5.65489    0.00000   15.27327    0.00000    0.00000   21.94561   27.62265   23.58639    0.00000    0.00000    0.00000    0.00000    0.00000   13.00623    0.00000    0.00000   12.22823    0.00000   18.30724    0.00000   10.53663    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.59669    0.00000    0.00000
 Epoch 0009:    5.68061    0.00000   15.21820    0.00000    0.00000   21.85833   27.69052   23.74384    0.00000    0.00000    0.00000    0.00000    0.00000   13.01507    0.00000    0.00000   12.20432    0.00000   18.25897    0.00000   10.57754    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.62326    0.00000    0.00000
 Epoch 0010:    5.69302    0.00000   15.16017    0.00000    0.00000   21.71132   27.78073   23.89888    0.00000    0.00000    0.00000    0.00000    0.00000   13.01317    0.00000    0.00000   12.18149    0.00000   18.20163    0.00000   10.62391    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.65861    0.00000    0.00000
