 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000   17.51645    0.00000    0.00000   20.08807    0.00000    0.00000    0.00000   16.16106    0.00000    0.00000    0.00000    0.00000   19.00619    0.00000    0.00000    0.00000   16.91571    0.00000    0.00000    0.00000    0.00000    0.00000   25.26875    0.00000    0.00000    0.00000   30.92193    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000   17.56234    0.00000    0.00000   20.04106    0.00000    0.00000    0.00000   16.16667    0.00000    0.00000    0.00000    0.00000   18.92105    0.00000    0.00000    0.00000   16.87305    0.00000    0.00000    0.00000    0.00000    0.00000   25.55235    0.00000    0.00000    0.00000   30.79271    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000   17.64066    0.00000    0.00000   19.98668    0.00000   13.61994    0.00000   16.19765    0.00000    0.00000    0.00000    0.00000   18.89309    0.00000    0.00000    0.00000   16.79054    0.00000    0.00000    0.00000    0.00000    0.00000   25.82308    0.00000    0.00000   28.58749   30.63501    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000   17.70720    0.00000    0.00000   19.93596    0.00000   13.63274    0.00000   16.20870    0.00000    0.00000    0.00000    0.00000   18.78229    0.00000    0.00000    0.00000   16.69006    0.00000    0.00000    0.00000    0.00000    0.00000   26.23695    0.00000    0.00000   28.53791   30.52028    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000   17.73329    0.00000   27.24640   19.88255    0.00000   13.62136    0.00000   16.23180    0.00000    0.00000    0.00000    0.00000   18.61091    0.00000    0.00000    0.00000   16.59429    0.00000    0.00000    0.00000    0.00000    0.00000   26.61798    0.00000    0.00000   28.45392   30.39257    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000   17.76976    0.00000   27.32173   19.84369    0.00000   13.64240    0.00000   16.29019    0.00000    0.00000    0.00000    0.00000   18.52780    0.00000    0.00000    0.00000   16.58342    0.00000    0.00000    0.00000    0.00000    0.00000   26.95070    0.00000    0.00000   28.50419   30.24677    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000   17.79183   28.93752   27.40464   19.81347    0.00000   13.63664    0.00000   16.29952    0.00000    0.00000    0.00000    0.00000   18.33819    0.00000    0.00000    0.00000   16.48110    0.00000    0.00000    0.00000    0.00000    0.00000   27.16041    0.00000    0.00000   28.50678   30.10568    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000   17.84518   28.75924   27.48791   19.74578    0.00000   13.63102    0.00000   16.31760    0.00000    0.00000    0.00000    0.00000   18.29423    0.00000    0.00000    0.00000   16.36567    0.00000    0.00000    0.00000    0.00000    0.00000   27.52172    0.00000    0.00000   28.47433   29.97051    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000   17.88878   28.53808   27.52704   19.65931    0.00000   13.63374    0.00000   16.35374    0.00000    0.00000    0.00000    0.00000   18.24674    0.00000    0.00000    0.00000   16.29581    0.00000    0.00000    0.00000    0.00000    0.00000   27.61704    0.00000    0.00000   28.57121   29.84253    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000   17.93781   28.48905   27.59135   19.59862    0.00000   13.61858    0.00000   16.36543    0.00000    0.00000    0.00000    0.00000   18.12769    0.00000    0.00000    0.00000   16.22465    0.00000    0.00000    0.00000    0.00000    0.00000   27.78436    0.00000    0.00000   28.51910   29.75853    0.00000    0.00000
 Epoch 0011:    0.00000    0.00000    0.00000   18.01127   28.42235   27.65596   19.50237    0.00000   13.64811    0.00000   16.40160    0.00000    0.00000    0.00000    0.00000   18.01350    0.00000    0.00000    0.00000   16.15391    0.00000    0.00000    0.00000    0.00000    0.00000   27.92059    0.00000    0.00000   28.53697   29.64281    0.00000    0.00000
 Epoch 0012:    0.00000    0.00000    0.00000   18.07766   28.20651   27.70387   19.42206    0.00000   13.65418    0.00000   16.41340    0.00000    0.00000    0.00000    0.00000   17.96532    0.00000    0.00000    0.00000   16.09811    0.00000    0.00000    0.00000    0.00000    0.00000   28.09160    0.00000    0.00000   28.64633   29.54025    0.00000    0.00000
 Epoch 0013:    0.00000    0.00000    0.00000   18.11655   28.01962   27.74988   19.34791    0.00000   13.66592    0.00000   16.44761    0.00000    0.00000    0.00000    0.00000   17.86100    0.00000    0.00000    0.00000   16.01209    0.00000    0.00000    0.00000    0.00000    0.00000   28.34216    0.00000    0.00000   28.53821   29.42346    0.00000    0.00000
 Epoch 0014:    0.00000    0.00000    0.00000   18.22231   27.68956   27.79487   19.31932    0.00000   13.66381    0.00000   16.46313    0.00000    0.00000    0.00000    0.00000   17.82184    0.00000    0.00000    0.00000   15.93233    0.00000    0.00000    0.00000    0.00000    0.00000   28.46535    0.00000    0.00000   28.55391   29.29584    0.00000    0.00000
 Epoch 0015:    0.00000    0.00000    0.00000   18.28508   27.50243   27.86087   19.27844    0.00000   13.67957    0.00000   16.50205    0.00000    0.00000    0.00000    0.00000   17.80705    0.00000    0.00000    0.00000   15.86442    0.00000    0.00000    0.00000    0.00000    0.00000   28.88296    0.00000    0.00000   28.72196   29.17903    0.00000    0.00000
 Epoch 0016:    0.00000    0.00000    0.00000   18.33653   27.39434   27.91476   19.21881    0.00000   13.67498    0.00000   16.53278    0.00000    0.00000    0.00000    0.00000   17.82242    0.00000    0.00000    0.00000   15.79716    0.00000    0.00000    0.00000    0.00000    0.00000   29.31489    0.00000    0.00000   28.79983   29.03109    0.00000    0.00000
 Epoch 0017:    0.00000    0.00000    0.00000   18.31298   27.18668   27.97315   19.14629    0.00000   13.66795    0.00000   16.54933    0.00000    0.00000    0.00000    0.00000   17.74054    0.00000    0.00000    0.00000   15.74118    0.00000    0.00000    0.00000    0.00000    0.00000   29.51416    0.00000    0.00000   28.67202   28.94528    0.00000    0.00000
 Epoch 0018:    0.00000    0.00000    0.00000   18.39600   27.01362   28.05479   19.08962    0.00000   13.66209    0.00000   16.55944    0.00000    0.00000    0.00000    0.00000   17.70696    0.00000    0.00000    0.00000   15.69556    0.00000    0.00000    0.00000    0.00000    0.00000   29.81813    0.00000    0.00000   28.48260   28.83290    0.00000    0.00000
