       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   -5.460844   82.237053   41.840664   49.852038   58.408936   46.644302   47.388402   15.682446   49.521311  -48.370655   50.029726   17.714438   28.971549    7.312741    3.905437   51.437644    3.494776   57.449015   20.152385   52.384608  -22.656004    9.155375  -16.268678  -46.040531   46.737865   58.422532   36.704987   48.027078   63.414005   44.003512   65.199095  -25.793503
   -5.702315   82.022399   41.757988   49.849296   58.362933   46.618869   47.404168   15.918327   49.522021  -48.186124   50.011431   17.418747   29.204331    7.543196    4.186540   51.461118    3.294551   57.774849   19.929416   52.360427  -22.779284    8.857056  -15.963540  -46.037597   46.434776   58.490870   36.923845   47.727411   63.393743   44.047651   65.062355  -26.077087
   -5.942929   81.806580   41.674230   49.846468   58.316135   46.593256   47.419857   16.154256   49.522676  -47.999565   49.993153   17.123132   29.436126    7.774187    4.467628   51.484614    3.095199   58.100474   19.706270   52.336386  -22.900505    8.558612  -15.658057  -46.032071   46.131405   58.559927   37.141761   47.427140   63.373932   44.091326   64.922236  -26.360261
   -6.182674   81.589799   41.589375   49.843552   58.268582   46.567461   47.435471   16.390222   49.523276  -47.811004   49.974892   16.827599   29.666923    8.005702    4.748697   51.508133    2.896733   58.425885   19.482962   52.312483  -23.019655    8.260050  -15.352232  -46.023954   45.827757   58.629712   37.358721   47.126281   63.354567   44.134544   64.778780  -26.643016
   -6.421537   81.372237   41.503408   49.840547   58.220312   46.541481   47.451011   16.626215   49.523819  -47.620467   49.956645   16.532153   29.896710    8.237723    5.029743   51.531678    2.699165   58.751077   19.259508   52.288718  -23.136721    7.961374  -15.046069  -46.013249   45.523839   58.700233   37.574713   46.824847   63.335645   44.177313   64.632030  -26.925348
   -6.659507   81.154061   41.416312   49.837454   58.171364   46.515313   47.466476   16.862222   49.524308  -47.427980   49.938412   16.236800   30.125475    8.470236    5.310763   51.555250    2.502508   59.076048   19.035922   52.265088  -23.251694    7.662587  -14.739572  -45.999958   45.219658   58.771501   37.789724   46.522852   63.317161   44.219638   64.482032  -27.207250
   -6.896571   80.935421   41.328074   49.834270   58.121774   46.488954   47.481869   17.098233   49.524740  -47.233568   49.920192   15.941544   30.353206    8.703225    5.591751   51.578853    2.306774   59.400791   18.812220   52.241593  -23.364562    7.363694  -14.432744  -45.984084   44.915221   58.843522   38.003743   46.220310   63.299111   44.261527   64.328830  -27.488714
   -7.132716   80.716453   41.238677   49.830996   58.071580   46.462402   47.497189   17.334235   49.525116  -47.037256   49.901983   15.646391   30.579890    8.936675    5.872703   51.602488    2.111977   59.725302   18.588415   52.218231  -23.475313    7.064698  -14.125589  -45.965630   44.610532   58.916308   38.216756   45.917233   63.281489   44.302986   64.172468  -27.769736
   -7.367931   80.497283   41.148106   49.827631   58.020818   46.435654   47.512438   17.570217   49.525437  -46.839071   49.883785   15.351346   30.805517    9.170570    6.153615   51.626157    1.918128   60.049577   18.364522   52.195001  -23.583937    6.765606  -13.818111  -45.944601   44.305600   58.989867   38.428752   45.613636   63.264293   44.344022   64.012993  -28.050308
   -7.602204   80.278024   41.056346   49.824173   57.969523   46.408707   47.527615   17.806169   49.525702  -46.639037   49.865597   15.056415   31.030074    9.404893    6.434484   51.649863    1.725240   60.373611   18.140557   52.171901  -23.690424    6.466419  -13.510312  -45.921000   44.000429   59.064208   38.639717   45.309531   63.247517   44.384641   63.850451  -28.330423
   -7.835522   80.058780   40.963380   49.820623   57.917730   46.381558   47.542723   18.042077   49.525910  -46.437179   49.847417   14.761602   31.253549    9.639630    6.715303   51.673608    1.533327   60.697399   17.916534   52.148931  -23.794762    6.167143  -13.202197  -45.894832   43.695027   59.139341   38.849640   45.004930   63.231157   44.424849   63.684888  -28.610074
   -8.067873   79.839648   40.869193   49.816979   57.865472   46.354204   47.557761   18.277930   49.526062  -46.233521   49.829245   14.466914   31.475929    9.874763    6.996070   51.697395    1.342399   61.020936   17.692467   52.126088  -23.896942    5.867782  -12.893769  -45.866102   43.389398   59.215274   39.058508   44.699845   63.215208   44.464652   63.516350  -28.889255
   -8.299246   79.620714   40.773770   49.813240   57.812784   46.326642   47.572730   18.513718   49.526158  -46.028088   49.811079   14.172355   31.697204   10.110277    7.276779   51.721224    1.152470   61.344218   17.468371   52.103373  -23.996953    5.568339  -12.585032  -45.834816   43.083550   59.292018   39.266309   44.394289   63.199667   44.504056   63.344884  -29.167959
   -8.529627   79.402059   40.677094   49.809405   57.759698   46.298869   47.587630   18.749428   49.526197  -45.820903   49.792918   13.877931   31.917361   10.346155    7.557426   51.745100    0.963552   61.667240   17.244260   52.080782  -24.094786    5.268820  -12.275988  -45.800980   42.777487   59.369581   39.473031   44.088272   63.184528   44.543068   63.170538  -29.446178
   -8.759005   79.183759   40.579151   49.805474   57.706244   46.270882   47.602464   18.985048   49.526180  -45.611991   49.774761   13.583647   32.136388   10.582381    7.838006   51.769023    0.775657   61.989997   17.020148   52.058316  -24.190430    4.969227  -11.966641  -45.764600   42.471215   59.447973   39.678662   43.781807   63.169787   44.581692   62.993357  -29.723905
   -8.987368   78.965882   40.479924   49.801446   57.652456   46.242678   47.617230   19.220567   49.526107  -45.401375   49.756608   13.289507   32.354273   10.818938    8.118516   51.792996    0.588798   62.312483   16.796050   52.035972  -24.283875    4.669565  -11.656994  -45.725683   42.164741   59.527203   39.883189   43.474905   63.155439   44.619935   62.813390  -30.001132
   -9.214704   78.748491   40.379398   49.797320   57.598361   46.214253   47.631931   19.455972   49.525977  -45.189079   49.738456   12.995519   32.571004   11.055809    8.398950   51.817022    0.402987   62.634694   16.571980   52.013749  -24.375114    4.369837  -11.347051  -45.684237   41.858070   59.607281   40.086602   43.167576   63.141480   44.657802   62.630682  -30.277853
   -9.441000   78.531647   40.277557   49.793095   57.543991   46.185605   47.646566   19.691253   49.525789  -44.975126   49.720306   12.701686   32.786569   11.292978    8.679304   51.841102    0.218236   62.956625   16.347953   51.991647  -24.464135    4.070049  -11.036815  -45.640269   41.551208   59.688217   40.288887   42.859831   63.127906   44.695299   62.445280  -30.554060
   -9.666244   78.315403   40.174386   49.788770   57.489373   46.156729   47.661136   19.926397   49.525545  -44.759538   49.702155   12.408014   33.000957   11.530426    8.959573   51.865238    0.034557   63.278270   16.123981   51.969664  -24.550931    3.770203  -10.726288  -45.593787   41.244159   59.770019   40.490033   42.551682   63.114711   44.732432   62.257232  -30.829744
   -9.890424   78.099812   40.069870   49.784344   57.434535   46.127624   47.675641   20.161392   49.525244  -44.542338   49.684003   12.114508   33.214155   11.768138    9.239753   51.889434   -0.148037   63.599625   15.900079   51.947798  -24.635492    3.470304  -10.415475  -45.544799   40.936930   59.852697   40.690028   42.243137   63.101891   44.769205   62.066582  -31.104899
  -10.113529   77.884921   39.963992   49.779817   57.379505   46.098284   47.690083   20.396227   49.524886  -44.323548   49.665849   11.821174   33.426151   12.006095    9.519839   51.913691   -0.329534   63.920683   15.676262   51.926049  -24.717810    3.170355  -10.104377  -45.493316   40.629526   59.936260   40.888861   41.934207   63.089442   44.805623   61.873378  -31.379515
  -10.335545   77.670774   39.856737   49.775187   57.324308   46.068708   47.704462   20.630889   49.524471  -44.103191   49.647692   11.528016   33.636934   12.244280    9.799826   51.938012   -0.509923   64.241440   15.452542   51.904415  -24.797876    2.870361   -9.792999  -45.439345   40.321952   60.020719   41.086521   41.624902   63.077357   44.841693   61.677665  -31.653586
