       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   36.889329  -15.050262   29.995750   25.017551   -6.644424   16.032806   20.155241   70.155943   21.074492   41.006454   14.858465  -48.188650  -25.112996   17.986745  -63.190044   29.619634   -0.890759   36.054918   -8.346744   12.993074   57.321062  108.345216    0.136888  -49.539477  -27.983038   32.024855   79.579265   74.411895    8.458431   16.707021  104.532043   87.705804
   37.014914  -14.070817   30.059020   25.051888   -6.299834   16.019323   20.160655   70.129754   21.093963   40.665123   14.856188  -48.165864  -24.954145   18.067404  -63.099561   29.597810   -0.825193   36.074869   -8.383436   13.049146   57.563966  108.258235    0.064601  -49.924301  -27.892755   32.060494   79.423961   74.215937    8.351259   16.727790  105.167538   87.592045
   37.141458  -13.146484   30.122867   25.086407   -5.959469   16.005707   20.166092   70.102246   21.113460   40.327297   14.853754  -48.144080  -24.794320   18.147175  -63.008863   29.576295   -0.758399   36.095222   -8.418943   13.104518   57.807872  108.171642   -0.006909  -50.309102  -27.803940   32.097017   79.267110   74.022969    8.243428   16.748377  105.796743   87.477202
   37.268968  -12.273174   30.187295   25.121110   -5.623327   15.991959   20.171551   70.073419   21.132985   39.992966   14.851164  -48.123295  -24.633519   18.226059  -62.917941   29.555087   -0.690380   36.115988   -8.453261   13.159200   58.052767  108.085427   -0.077654  -50.693827  -27.716569   32.134438   79.108712   73.832934    8.134922   16.768786  106.419564   87.361257
   37.397450  -11.447147   30.252307   25.155998   -5.291406   15.978077   20.177033   70.043272   21.152537   39.662120   14.848420  -48.103508  -24.471739   18.304061  -62.826784   29.534185   -0.621135   36.137178   -8.486390   13.213202   58.298636  107.999576   -0.147646  -51.078427  -27.630619   32.172772   78.948769   73.645777    8.025727   16.789019  107.035916   87.244191
   37.526908  -10.664976   30.317907   25.191073   -4.963700   15.964060   20.182538   70.011805   21.172117   39.334749   14.845520  -48.084717  -24.308979   18.381181  -62.735382   29.513589   -0.550668   36.158805   -8.518325   13.266533   58.545466  107.914080   -0.216898  -51.462851  -27.546068   32.212032   78.787283   73.461443    7.915826   16.809079  107.645723   87.125986
   37.657350   -9.923526   30.384099   25.226337   -4.640204   15.949908   20.188067   69.979015   21.191724   39.010838   14.842466  -48.066921  -24.145237   18.457424  -62.643723   29.493297   -0.478978   36.180881   -8.549066   13.319205   58.793241  107.828926   -0.285421  -51.847048  -27.462894   32.252232   78.624254   73.279879    7.805203   16.828969  108.248916   87.006624
   37.788781   -9.219923   30.450884   25.261791   -4.320907   15.935618   20.193620   69.944903   21.211359   38.690376   14.839258  -48.050119  -23.980512   18.532791  -62.551798   29.473309   -0.406068   36.203419   -8.578611   13.371226   59.041946  107.744103   -0.353227  -52.230967  -27.381076   32.293388   78.459686   73.101033    7.693842   16.848691  108.845438   86.886086
   37.921207   -8.551539   30.518268   25.297438   -4.005798   15.921192   20.199196   69.909468   21.231022   38.373347   14.835896  -48.034309  -23.814803   18.607285  -62.459596   29.453623   -0.331940   36.226431   -8.606956   13.422605   59.291567  107.659599   -0.420328  -52.614559  -27.300592   32.335515   78.293581   72.924854    7.581728   16.868248  109.435235   86.764352
   38.054633   -7.915960   30.586251   25.333278   -3.694862   15.906626   20.204798   69.872707   21.250713   38.059737   14.832381  -48.019490  -23.648110   18.680908  -62.367105   29.434239   -0.256594   36.249933   -8.634102   13.473353   59.542086  107.575404   -0.486735  -52.997774  -27.221424   32.378628   78.125941   72.751291    7.468844   16.887642  110.018264   86.641404
