       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   -5.088604   82.130062   40.903272   48.758056   57.264217   45.526500   46.252601   14.918735   48.375770  -49.156122   48.836666   17.163442   28.701316    8.014221    3.724215   50.465383    4.288042   56.685297   20.502499   51.209575  -22.645504    8.254839  -16.892733  -46.125739   45.927946   57.991859   35.707535   47.234580   62.836528   43.027287   64.769606  -26.611632
   -5.331276   81.926112   40.823868   48.755692   57.218962   45.502133   46.268013   15.151185   48.376685  -48.970548   48.818351   16.870345   28.926984    8.240824    4.002673   50.489702    4.090359   57.011861   20.286265   51.185324  -22.773115    7.957573  -16.587802  -46.117991   45.626955   58.066295   35.926454   46.933312   62.811850   43.068484   64.624131  -26.894756
   -5.573132   81.720026   40.743436   48.753241   57.172896   45.477603   46.283355   15.383694   48.377545  -48.782940   48.800058   16.577318   29.151623    8.467909    4.281094   50.514052    3.893508   57.338235   20.069795   51.161213  -22.898689    7.660187  -16.282535  -46.107653   45.325674   58.141514   36.144472   46.631481   62.787646   43.109265   64.475375  -27.177476
   -5.814162   81.512066   40.661961   48.750702   57.126058   45.452908   46.298626   15.616252   48.378350  -48.593327   48.781784   16.284369   29.375221    8.695462    4.559476   50.538435    3.697501   57.664414   19.853102   51.137240  -23.022216    7.362686  -15.976936  -46.094727   45.024112   58.217525   36.361577   46.329101   62.763909   43.149635   64.323381  -27.459785
   -6.054351   81.302471   40.579427   48.748075   57.078484   45.428043   46.313829   15.848847   48.379099  -48.401735   48.763530   15.991501   29.597768    8.923467    4.837813   50.562854    3.502352   57.990396   19.636202   51.113404  -23.143683    7.065073  -15.671007  -46.079216   44.722273   58.294337   36.577758   46.026185   62.740637   43.189600   64.168196  -27.741678
   -6.293687   81.091461   40.495821   48.745359   57.030213   45.403008   46.328963   16.081468   48.379793  -48.208190   48.745293   15.698720   29.819252    9.151906    5.116102   50.587311    3.308074   58.316175   19.419111   51.089703  -23.263078    6.767352  -15.364754  -46.061124   44.420164   58.371959   36.793001   45.722747   62.717822   43.229167   64.009868  -28.023148
   -6.532159   80.879235   40.411127   48.742554   56.981281   45.377800   46.344030   16.314103   48.380431  -48.012718   48.727073   15.406032   30.039661    9.380765    5.394338   50.611808    3.114678   58.641748   19.201843   51.066136  -23.380391    6.469529  -15.058179  -46.040455   44.117792   58.450401   37.007295   45.418798   62.695462   43.268341   63.848441  -28.304189
   -6.769753   80.665978   40.325330   48.739658   56.931723   45.352416   46.359029   16.546742   48.381014  -47.815345   48.708869   15.113442   30.258984    9.610026    5.672517   50.636348    2.922179   58.967110   18.984414   51.042702  -23.495609    6.171606  -14.751286  -46.017212   43.815163   58.529671   37.220628   45.114352   62.673550   43.307129   63.683965  -28.584794
   -7.006457   80.451856   40.238415   48.736670   56.881577   45.326853   46.373963   16.779372   48.381540  -47.616098   48.690680   14.820956   30.477210    9.839673    5.950634   50.660934    2.730589   59.292257   18.766840   51.019399  -23.608721    5.873587  -14.444078  -45.991401   43.512284   58.609779   37.432988   44.809421   62.652083   43.345535   63.516485  -28.864957
   -7.242259   80.237023   40.150368   48.733591   56.830875   45.301110   46.388830   17.011983   48.382011  -47.415001   48.672504   14.528579   30.694327   10.069690    6.228686   50.685567    2.539920   59.617185   18.549134   50.996227  -23.719717    5.575478  -14.136560  -45.963026   43.209159   58.690735   37.644363   44.504016   62.631054   43.383566   63.346050  -29.144670
