       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   35.972525  -21.472086   28.881059   24.010056   -7.373946   15.298918   19.220512   69.387766   20.081710   38.626639   14.033294  -51.066223  -24.051846   17.515859  -62.262885   28.748922   -0.646754   33.064637   -7.645065   12.104360   56.289941  106.480591   -2.514072  -52.829153  -30.818833   31.446050   79.416369   71.705394    6.787054   16.019833  106.168985   85.880935
   36.097314  -20.325946   28.943035   24.044651   -7.037021   15.287083   19.225445   69.363426   20.100870   38.280574   14.032024  -51.043225  -23.892818   17.592890  -62.171817   28.727060   -0.585305   33.073697   -7.683988   12.160031   56.532356  106.395527   -2.585734  -53.214894  -30.727370   31.484743   79.266013   71.517465    6.681491   16.038143  106.790360   85.767982
   36.223041  -19.240625   29.005580   24.079433   -6.704089   15.275132   19.230401   69.337775   20.120060   37.938132   14.030603  -51.021240  -23.732888   17.669036  -62.080520   28.705515   -0.522645   33.082921   -7.721767   12.215010   56.775802  106.310838   -2.656628  -53.600516  -30.637364   31.524371   79.114141   71.332387    6.575289   16.056298  107.405130   85.653933
   36.349713  -18.212126   29.068698   24.114406   -6.375153   15.263062   19.235382   69.310812   20.139280   37.599303   14.029032  -51.000267  -23.572055   17.744301  -61.988984   28.684285   -0.458775   33.092312   -7.758398   12.269310   57.020265  106.226512   -2.726768  -53.985969  -30.548791   31.564950   78.960755   71.150107    6.468432   16.074298  108.013224   85.538768
   36.477337  -17.236713   29.132393   24.149569   -6.050214   15.250875   19.240388   69.282538   20.158529   37.264075   14.027311  -50.980304  -23.410321   17.818685  -61.897200   28.663369   -0.393695   33.101874   -7.793879   12.322939   57.265734  106.142537   -2.796165  -54.371202  -30.461630   31.606494   78.805854   70.970570    6.360906   16.092148  108.614582   85.422468
   36.605918  -16.310905   29.196669   24.184925   -5.729271   15.238568   19.245418   69.252951   20.177809   36.932435   14.025441  -50.961349  -23.247683   17.892193  -61.805155   28.642766   -0.327409   33.111611   -7.828205   12.375907   57.512194  106.058903   -2.864832  -54.756164  -30.375860   31.649017   78.649441   70.793726    6.252695   16.109848  109.209152   85.305016
   36.735463  -15.431458   29.261529   24.220476   -5.412320   15.226141   19.250474   69.222051   20.197118   36.604369   14.023423  -50.943402  -23.084144   17.964825  -61.712841   28.622476   -0.259916   33.121527   -7.861374   12.428225   57.759631  105.975598   -2.932780  -55.140805  -30.291459   31.692536   78.491516   70.619524    6.143784   16.127402  108.766160   85.186392
   36.865977  -14.595362   29.326977   24.256223   -5.099355   15.213593   19.255555   69.189837   20.216459   36.279861   14.021256  -50.926462  -22.919704   18.036585  -61.620246   28.602497   -0.191219   33.131628   -7.893383   12.479901   58.008031  105.892610   -3.000022  -55.525075  -30.208407   31.737064   78.332081   70.447914    6.034157   16.144811  108.185294   85.066577
   36.997465  -13.799821   29.393018   24.292169   -4.790369   15.200924   19.260662   69.156308   20.235829   35.958896   14.018941  -50.910526  -22.754364   18.107475  -61.527361   28.582830   -0.121319   33.141916   -7.924229   12.530945   58.257379  105.809930   -3.066570  -55.908923  -30.126685   31.782620   78.171138   70.278848    5.923800   16.162079  107.611327   84.945551
   37.129935  -13.042240   29.459653   24.328314   -4.485352   15.188133   19.265794   69.121464   20.255231   35.641457   14.016479  -50.895596  -22.588125   18.177498  -61.434174   28.563472   -0.050218   33.152399   -7.953909   12.581366   58.507660  105.727545   -3.132434  -56.292302  -30.046274   31.829217   78.008689   70.112277    5.812697   16.179207  107.044283   84.823296
