       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   -5.053649   83.211493   42.642397   50.434057   60.218061   47.390735   48.122669   17.356874   50.242334  -47.520662   50.968321   17.595798   28.197085    6.667804    3.090525   51.772221    2.021705   57.859451   18.739435   53.460210  -21.626250   10.562663  -16.051211  -46.874712   47.270950   58.106139   37.849347   48.499177   64.473641   44.570144   64.554688  -24.425513
   -5.291386   82.977323   42.562440   50.430325   60.166963   47.363785   48.138650   17.592350   50.242394  -47.342011   50.949464   17.295251   28.440398    6.904353    3.374935   51.794647    1.823502   58.181844   18.510797   53.433011  -21.743668   10.266099  -15.746180  -46.879216   46.961964   58.167823   38.059089   48.206859   64.461964   44.617872   64.437570  -24.709378
   -5.528224   82.743456   42.481438   50.426507   60.114885   47.336633   48.154550   17.827815   50.242398  -47.161284   50.930625   16.994803   28.682839    7.141452    3.659370   51.817087    1.626236   58.503976   18.282092   53.405990  -21.859022    9.969378  -15.440782  -46.881097   46.652749   58.230149   38.267785   47.913824   64.450731   44.665077   64.317066  -24.992847
   -5.764153   82.509989   42.399375   50.422603   60.061874   47.309277   48.170369   18.063257   50.242346  -46.978506   50.911803   16.694458   28.924397    7.379085    3.943826   51.839542    1.429921   58.825841   18.053337   53.379144  -21.972302    9.672504  -15.135021  -46.880358   46.343310   58.293125   38.475425   47.620088   64.439937   44.711767   64.193205  -25.275913
   -5.999160   82.277009   42.316237   50.418610   60.007975   47.281712   48.186108   18.298664   50.242237  -46.793702   50.892996   16.394222   29.165060    7.617239    4.228299   51.862014    1.234569   59.147434   17.824543   53.352471  -22.083498    9.375481  -14.828901  -46.876997   46.033653   58.356759   38.681994   47.325669   64.429578   44.757949   64.066021  -25.558571
   -6.233232   82.044594   42.232007   50.414530   59.953233   47.253936   48.201767   18.534024   50.242073  -46.606899   50.874203   16.094098   29.404817    7.855897    4.512785   51.884506    1.040192   59.468749   17.595726   53.325970  -22.192597    9.078316  -14.522425  -46.871017   45.723785   58.421060   38.887482   47.030582   64.419651   44.803631   63.935546  -25.840814
   -6.466358   81.812811   42.146671   50.410360   59.897692   47.225945   48.217348   18.769325   50.241853  -46.418122   50.855424   15.794092   29.643655    8.095045    4.797279   51.907020    0.846801   59.789781   17.366899   53.299639  -22.299591    8.781011  -14.215598  -46.862418   45.413710   58.486036   39.091875   46.734842   64.410151   44.848821   63.801816  -26.122636
   -6.698526   81.581722   42.060213   50.406101   59.841396   47.197737   48.232851   19.004555   50.241576  -46.227394   50.836656   15.494210   29.881563    8.334668    5.081779   51.929556    0.654410   60.110523   17.138076   53.273476  -22.404469    8.483572  -13.908424  -46.851204   45.103435   58.551697   39.295162   46.438464   64.401076   44.893527   63.664865  -26.404030
   -6.929724   81.351384   41.972616   50.401752   59.784387   47.169308   48.248277   19.239702   50.241244  -46.034741   50.817900   15.194455   30.118529    8.574750    5.366280   51.952119    0.463031   60.430970   16.909270   53.247480  -22.507221    8.186004  -13.600905  -46.837377   44.792964   58.618050   39.497330   46.141465   64.392420   44.937755   63.524729  -26.684989
   -7.159940   81.121845   41.883866   50.397311   59.726708   47.140654   48.263627   19.474753   50.240855  -45.840187   50.799153   14.894832   30.354540    8.815275    5.650777   51.974708    0.272676   60.751116   16.680496   53.221648  -22.607836    7.888311  -13.293046  -46.820940   44.482304   58.685105   39.698368   45.843857   64.384180   44.981514   63.381447  -26.965508
   -7.389161   80.893153   41.793946   50.392779   59.668399   47.111774   48.278901   19.709696   50.240409  -45.643758   50.780414   14.595347   30.589584    9.056229    5.935268   51.997327    0.083357   61.070955   16.451766   53.195979  -22.706307    7.590497  -12.984851  -46.801896   44.171459   58.752871   39.898262   45.545655   64.376352   45.024809   63.235055  -27.245579
   -7.617376   80.665349   41.702841   50.388155   59.609503   47.082662   48.294100   19.944519   50.239907  -45.445476   50.761683   14.296005   30.823650    9.297595    6.219747   52.019977   -0.104914   61.390481   16.223095   53.170471  -22.802622    7.292567  -12.676323  -46.780250   43.860436   58.821356   40.097003   45.246874   64.368932   45.067649   63.085592  -27.525195
   -7.844573   80.438471   41.610534   50.383437   59.550058   47.053315   48.309225   20.179210   50.239349  -45.245367   50.742958   13.996810   31.056725    9.539357    6.504211   52.042660   -0.292124   61.709686   15.994496   53.145123  -22.896773    6.994526  -12.367466  -46.756006   43.549238   58.890570   40.294577   44.947526   64.361916   45.110040   62.933097  -27.804351
   -8.070739   80.212554   41.517009   50.378625   59.490104   47.023731   48.324277   20.413756   50.238734  -45.043454   50.724237   13.697767   31.288798    9.781499    6.788655   52.065378   -0.478262   62.028566   15.765981   53.119933  -22.988750    6.696377  -12.058283  -46.729169   43.237872   58.960522   40.490973   44.647626   64.355300   45.151988   62.777610  -28.083037
   -8.295864   79.987631   41.422250   50.373718   59.429679   46.993905   48.339256   20.648145   50.238062  -44.839760   50.705520   13.398881   31.519854   10.024006    7.073076   52.088133   -0.663316   62.347113   15.537566   53.094898  -23.078544    6.398125  -11.748778  -46.699744   42.926343   59.031220   40.686179   44.347187   64.349078   45.193501   62.619170  -28.361248
   -8.519933   79.763731   41.326241   50.368716   59.368819   46.963833   48.354163   20.882365   50.237334  -44.634309   50.686806   13.100157   31.749884   10.266861    7.357468   52.110927   -0.847273   62.665322   15.309262   53.070018  -23.166148    6.099775  -11.438955  -46.667738   42.614655   59.102675   40.880185   44.046220   64.343249   45.234585   62.457818  -28.638977
   -8.742937   79.540882   41.228967   50.363618   59.307563   46.933513   48.368998   21.116403   50.236549  -44.427125   50.668093   12.801600   31.978873   10.510048    7.641829   52.133763   -1.030121   62.983184   15.081083   53.045291  -23.251551    5.801331  -11.128816  -46.633157   42.302814   59.174894   41.072979   43.744739   64.337806   45.275246   62.293595  -28.916215
   -8.964863   79.319110   41.130410   50.358423   59.245944   46.902940   48.383763   21.350246   50.235707  -44.218229   50.649380   12.503214   32.206810   10.753549    7.926153   52.156641   -1.211849   63.300695   14.853042   53.020714  -23.334747    5.502797  -10.818365  -46.596007   41.990825   59.247888   41.264550   43.442756   64.332746   45.315491   62.126542  -29.192955
