       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   38.732960   -0.961640   32.658250   28.369034   -5.485017   18.997795   23.463022   70.448570   24.544829   50.129037   18.011240  -39.105263  -26.412146   19.789524  -64.567801   32.598240   -0.045914   46.587939   -8.351470   16.184262   58.794651  111.543061    9.040365  -40.370427  -18.168361   35.112030   78.538473   84.187234   12.907943   19.528958  101.086229   95.783125
   38.856484   -0.305299   32.714370   28.400925   -5.097592   18.980683   23.469751   70.416071   24.564348   49.787780   18.006871  -39.086854  -26.257091   19.875294  -64.480432   32.580033    0.025799   46.641207   -8.383469   16.244330   59.032194  111.634904    8.966435  -40.761917  -18.091903   35.148553   78.375560   83.972998   12.787153   19.555064  101.712302   95.670106
   38.980984    0.306492   32.771016   28.432965   -4.714913   18.963407   23.476497   70.382252   24.583883   49.449871   18.002330  -39.069394  -26.100971   19.960194  -64.392894   32.562099    0.098761   46.695579   -8.414229   16.303608   59.270668  111.726310    8.893329  -41.153523  -18.016742   35.185933   78.211171   83.761972   12.665604   19.580937  102.333526   95.556060
   39.106464    0.878032   32.828194   28.465157   -4.336986   18.945967   23.483259   70.347113   24.603434   49.115303   17.997617  -39.052879  -25.943778   20.044228  -64.305174   32.544438    0.172968   46.751087   -8.443748   16.362108   59.510059  111.817291    8.821036  -41.545191  -17.942858   35.224185   78.045311   83.554100   12.543277   19.606580  102.949770   95.440972
   39.232931    1.413100   32.885907   28.497500   -3.963816   18.928360   23.490037   70.310653   24.623001   48.784072   17.992734  -39.037310  -25.785507   20.127398  -64.217264   32.527048    0.248420   46.807761   -8.472026   16.419842   59.750353  111.907859    8.749543  -41.936867  -17.870229   35.263322   77.877986   83.349322   12.420154   19.631997  103.560915   95.324823
   39.360388    1.915027   32.944159   28.529997   -3.595404   18.910586   23.496833   70.272870   24.642584   48.456171   17.987680  -39.022685  -25.626150   20.209708  -64.129152   32.509929    0.325115   46.865637   -8.499062   16.476822   59.991534  111.998026    8.678839  -42.328498  -17.798833   35.303359   77.709200   83.147585   12.296216   19.657192  104.166846   95.207595
   39.488842    2.386759   33.002954   28.562649   -3.231747   18.892642   23.503646   70.233763   24.662184   48.131593   17.982456  -39.009002  -25.465704   20.291161  -64.040827   32.493080    0.403051   46.924748   -8.524856   16.533060   60.233587  112.087803    8.608912  -42.720030  -17.728652   35.344309   77.538960   82.948833   12.171443   19.682166  104.767458   95.089271
   39.618297    2.830910   33.062296   28.595458   -2.872842   18.874529   23.510476   70.193333   24.681801   47.810327   17.977061  -38.996262  -25.304161   20.371760  -63.952280   32.476501    0.482227   46.985132   -8.549406   16.588567   60.476498  112.177202    8.539750  -43.111412  -17.659666   35.386188   77.367272   82.753012   12.045817   19.706924  105.362651   94.969833
   39.748757    3.249807   33.122189   28.628424   -2.518681   18.856244   23.517325   70.151578   24.701434   47.492364   17.971497  -38.984463  -25.141516   20.451508  -63.863500   32.460191    0.562640   47.046826   -8.572712   16.643354   60.720249  112.266235    8.471340  -43.502588  -17.591856   35.429010   77.194143   82.560069   11.919317   19.731468  105.952335   94.849262
   39.880229    3.645526   33.182637   28.661549   -2.169253   18.837787   23.524193   70.108498   24.721085   47.177694   17.965763  -38.973605  -24.977765   20.530408  -63.774475   32.444149    0.644288   47.109870   -8.594773   16.697432   60.964825  112.354913    8.403672  -43.893507  -17.525204   35.472793   77.019579   82.369952   11.791926   19.755802  106.536425   94.727540
